promo_id,name,type,benefit_type,benefit_value,min_threshold,max_uses_per_cust,start_ts,end_ts,channels_allowed,inclusion_rule_json,exclusion_rule_json,created_by,created_ts,status
P0023,Promo 0023,Basket,PCT,25.0,50.0,1,2024-03-07 00:00:00,2024-03-18 00:00:00,store,"{""type"": ""brand"", ""value"": ""Dawn""}",{},ops_cara,2024-02-17 00:00:00,Active
P0024,Promo 0024,Basket,PCT,30.0,50.0,2,2024-01-07 00:00:00,2024-01-11 00:00:00,store,"{""type"": ""sku"", ""value"": ""SKU00397""}",{},mktg_ben,2023-12-17 00:00:00,Active
P0025,Promo 0025,Basket,PCT,30.0,75.0,5,2024-08-04 00:00:00,2024-08-17 00:00:00,store,"{""type"": ""brand"", ""value"": ""Cascade""}",{},mktg_amy,2024-07-28 00:00:00,Active
P0026,Promo 0026,Item,PCT,15.0,100.0,1,2024-05-05 00:00:00,2024-05-13 00:00:00,ecom,"{""type"": ""brand"", ""value"": ""Dawn""}",{},ops_dan,2024-04-17 00:00:00,Active
P0027,Promo 0027,Item,PCT,30.0,75.0,3,2024-03-06 00:00:00,2024-03-20 00:00:00,store,"{""type"": ""sku"", ""value"": ""SKU00394""}",{},mktg_amy,2024-02-14 00:00:00,Active
P0028,Promo 0028,Basket,PCT,10.0,25.0,4,2024-05-20 00:00:00,2024-05-29 00:00:00,"store,ecom","{""type"": ""sku"", ""value"": ""SKU00161""}",{},ops_cara,2024-05-07 00:00:00,Active
P0029,Promo 0029,Item,PCT,30.0,75.0,4,2024-07-18 00:00:00,2024-07-30 00:00:00,store,"{""type"": ""brand"", ""value"": ""Boreal""}",{},mktg_amy,2024-07-09 00:00:00,Active
P0030,Promo 0030,Basket,PCT,30.0,75.0,4,2024-11-19 00:00:00,2024-12-01 00:00:00,store,"{""type"": ""sku"", ""value"": ""SKU00261""}",{},mktg_ben,2024-10-27 00:00:00,Active
P0031,Promo 0031,Item,PCT,15.0,25.0,1,2024-11-21 00:00:00,2024-12-04 00:00:00,store,"{""type"": ""brand"", ""value"": ""Boreal""}",{},ops_dan,2024-11-11 00:00:00,Active
P0032,Promo 0032,Item,PCT,5.0,0.0,1,2024-05-02 00:00:00,2024-05-06 00:00:00,"store,ecom","{""type"": ""brand"", ""value"": ""Boreal""}",{},ops_cara,2024-04-20 00:00:00,Active
P0033,Promo 0033,Item,CASH,5.0,25.0,2,2024-09-07 00:00:00,2024-09-14 00:00:00,ecom,"{""type"": ""brand"", ""value"": ""Gale""}",{},ops_cara,2024-08-20 00:00:00,Active
P0034,Promo 0034,Item,PCT,5.0,75.0,2,2024-01-13 00:00:00,2024-01-21 00:00:00,ecom,"{""type"": ""brand"", ""value"": ""Harbor""}",{},ops_dan,2023-12-27 00:00:00,Active
P0035,Promo 0035,Item,CASH,17.0,25.0,,2024-08-03 00:00:00,2024-08-06 00:00:00,store,"{""type"": ""subcategory"", ""value"": ""Sneakers""}",{},ops_dan,2024-07-12 00:00:00,Active
P0036,Promo 0036,Item,PCT,15.0,100.0,5,2024-03-05 00:00:00,2024-03-14 00:00:00,ecom,"{""type"": ""subcategory"", ""value"": ""Sandals""}",{},mktg_amy,2024-02-26 00:00:00,Active
P0037,Promo 0037,Item,CASH,10.0,75.0,5,2024-04-15 00:00:00,2024-04-25 00:00:00,store,"{""type"": ""subcategory"", ""value"": ""Socks""}",{},mktg_amy,2024-04-06 00:00:00,Active
P0038,Promo 0038,Item,PCT,20.0,25.0,5,2024-02-03 00:00:00,2024-02-09 00:00:00,ecom,"{""type"": ""brand"", ""value"": ""Dawn""}",{},ops_dan,2024-01-17 00:00:00,Active
P0039,Promo 0039,Item,CASH,10.0,50.0,2,2024-10-13 00:00:00,2024-10-25 00:00:00,"store,ecom","{""type"": ""brand"", ""value"": ""Gale""}",{},ops_cara,2024-09-22 00:00:00,Active
P0040,Promo 0040,Item,PCT,30.0,50.0,2,2024-01-11 00:00:00,2024-01-24 00:00:00,store,"{""type"": ""brand"", ""value"": ""Dawn""}",{},mktg_ben,2024-01-04 00:00:00,Active
P0041,Promo 0041,Item,CASH,5.0,25.0,4,2024-10-24 00:00:00,2024-11-06 00:00:00,store,"{""type"": ""category"", ""value"": ""Apparel""}",{},mktg_amy,2024-10-12 00:00:00,Active
P0042,Promo 0042,Basket,BOGO,15.0,75.0,1,2024-03-26 00:00:00,2024-04-01 00:00:00,ecom,"{""type"": ""category"", ""value"": ""Footwear""}",{},mktg_amy,2024-03-21 00:00:00,Active
P0043,Promo 0043,Item,CASH,5.0,100.0,4,2024-02-26 00:00:00,2024-03-04 00:00:00,"store,ecom","{""type"": ""category"", ""value"": ""Accessories""}",{},ops_cara,2024-02-18 00:00:00,Active
P0044,Promo 0044,Basket,CASH,10.0,100.0,4,2024-07-17 00:00:00,2024-07-23 00:00:00,store,"{""type"": ""subcategory"", ""value"": ""Tops""}",{},mktg_ben,2024-06-27 00:00:00,Active
P0045,Promo 0045,Basket,CASH,10.0,0.0,2,2024-11-14 00:00:00,2024-11-17 00:00:00,store,"{""type"": ""sku"", ""value"": ""SKU00191""}",{},ops_cara,2024-10-31 00:00:00,Active
P0046,Promo 0046,Basket,PCT,20.0,50.0,2,2024-02-04 00:00:00,2024-02-11 00:00:00,"store,ecom","{""type"": ""category"", ""value"": ""Apparel""}",{},ops_dan,2024-01-28 00:00:00,Active
P0047,Promo 0047,Item,BOGO,10.0,25.0,1,2024-08-18 00:00:00,2024-08-27 00:00:00,store,"{""type"": ""category"", ""value"": ""Accessories""}",{},mktg_ben,2024-08-07 00:00:00,Active
P0048,Promo 0048,Item,PCT,15.0,0.0,3,2024-05-22 00:00:00,2024-05-26 00:00:00,store,"{""type"": ""brand"", ""value"": ""Gale""}",{},mktg_amy,2024-05-17 00:00:00,Active
P0049,Promo 0049,Item,BOGO,15.0,100.0,5,2024-09-06 00:00:00,2024-09-15 00:00:00,"store,ecom","{""type"": ""sku"", ""value"": ""SKU00290""}",{},ops_dan,2024-08-30 00:00:00,Active
P0050,Promo 0050,Basket,PCT,30.0,0.0,3,2024-10-04 00:00:00,2024-10-13 00:00:00,ecom,"{""type"": ""brand"", ""value"": ""Dawn""}",{},ops_dan,2024-09-22 00:00:00,Active
P0051,Promo 0051,Item,CASH,5.0,75.0,4,2024-11-07 00:00:00,2024-11-14 00:00:00,store,"{""type"": ""sku"", ""value"": ""SKU00001""}",{},ops_dan,2024-11-01 00:00:00,Active
P0052,Promo 0052,Basket,PCT,10.0,0.0,4,2024-04-16 00:00:00,2024-04-24 00:00:00,ecom,"{""type"": ""subcategory"", ""value"": ""Sneakers""}",{},ops_cara,2024-04-11 00:00:00,Active
P0053,Promo 0053,Item,PCT,20.0,100.0,3,2024-07-05 00:00:00,2024-07-08 00:00:00,"store,ecom","{""type"": ""brand"", ""value"": ""Gale""}",{},ops_cara,2024-06-21 00:00:00,Active
P0054,Promo 0054,Item,PCT,5.0,100.0,5,2024-06-26 00:00:00,2024-07-03 00:00:00,"store,ecom","{""type"": ""sku"", ""value"": ""SKU00347""}",{},ops_cara,2024-06-09 00:00:00,Active
P0055,Promo 0055,Basket,PCT,20.0,0.0,5,2024-02-24 00:00:00,2024-03-06 00:00:00,ecom,"{""type"": ""sku"", ""value"": ""SKU00308""}",{},mktg_ben,2024-02-09 00:00:00,Active
P0056,Promo 0056,Item,PCT,15.0,25.0,1,2024-08-02 00:00:00,2024-08-06 00:00:00,ecom,"{""type"": ""subcategory"", ""value"": ""Tops""}",{},mktg_ben,2024-07-22 00:00:00,Active
P0057,Promo 0057,Item,PCT,15.0,50.0,3,2024-06-15 00:00:00,2024-06-20 00:00:00,ecom,"{""type"": ""brand"", ""value"": ""Boreal""}",{},ops_cara,2024-05-23 00:00:00,Active
P0058,Promo 0058,Basket,PCT,15.0,75.0,2,2024-05-14 00:00:00,2024-05-24 00:00:00,store,"{""type"": ""subcategory"", ""value"": ""Outerwear""}",{},ops_dan,2024-04-26 00:00:00,Active
P0059,Promo 0059,Item,PCT,15.0,100.0,2,2024-01-14 00:00:00,2024-01-17 00:00:00,"store,ecom","{""type"": ""category"", ""value"": ""Footwear""}",{},ops_cara,2023-12-23 00:00:00,Active
P0060,Promo 0060,Item,PCT,10.0,100.0,5,2024-02-12 00:00:00,2024-02-16 00:00:00,"store,ecom","{""type"": ""brand"", ""value"": ""Harbor""}",{},mktg_ben,2024-01-23 00:00:00,Active
