order_id,order_line_id,sku,qty,unit_price,gross_sales,promo_id,discount_amt,net_sales
O0000025,O0000025-2,SKU00320,1,20.06,20.06,,0.0,20.06
O0000025,O0000025-3,SKU00202,1,80.2,80.2,,0.0,80.2
O0000026,O0000026-1,SKU00340,1,30.34,30.34,,0.0,30.34
O0000027,O0000027-1,SKU00381,1,81.55,81.55,,0.0,81.55
O0000028,O0000028-1,SKU00117,1,30.62,30.62,,0.0,30.62
O0000028,O0000028-2,SKU00147,3,41.64,124.92,,0.0,124.92
O0000028,O0000028-3,SKU00073,1,61.83,61.83,,0.0,61.83
O0000028,O0000028-4,SKU00006,1,31.28,31.28,,0.0,31.28
O0000029,O0000029-1,SKU00360,1,93.89,93.89,,0.0,93.89
O0000029,O0000029-2,SKU00139,1,52.17,52.17,,0.0,52.17
O0000029,O0000029-3,SKU00248,1,48.06,48.06,,0.0,48.06
O0000030,O0000030-1,SKU00040,2,46.34,92.68,,0.0,92.68
O0000030,O0000030-2,SKU00078,1,17.22,17.22,,0.0,17.22
O0000030,O0000030-3,SKU00026,1,45.44,45.44,,0.0,45.44
O0000031,O0000031-1,SKU00181,1,47.26,47.26,,0.0,47.26
O0000032,O0000032-1,SKU00005,2,8.67,17.34,,0.0,17.34
O0000032,O0000032-2,SKU00036,1,42.54,42.54,,0.0,42.54
O0000032,O0000032-3,SKU00358,1,36.52,36.52,,0.0,36.52
O0000032,O0000032-4,SKU00196,1,36.14,36.14,,0.0,36.14
O0000033,O0000033-1,SKU00389,1,51.94,51.94,,0.0,51.94
O0000034,O0000034-1,SKU00367,1,50.59,50.59,,0.0,50.59
O0000034,O0000034-2,SKU00252,1,57.03,57.03,,0.0,57.03
O0000035,O0000035-1,SKU00238,1,69.04,69.04,,0.0,69.04
O0000036,O0000036-1,SKU00098,1,54.0,54.0,,0.0,54.0
O0000036,O0000036-2,SKU00033,1,24.44,24.44,,0.0,24.44
O0000037,O0000037-1,SKU00334,2,17.99,35.98,,0.0,35.98
O0000037,O0000037-2,SKU00317,1,32.85,32.85,,0.0,32.85
O0000038,O0000038-1,SKU00150,1,41.46,41.46,,0.0,41.46
O0000038,O0000038-2,SKU00137,2,60.17,120.34,,0.0,120.34
O0000038,O0000038-3,SKU00080,1,45.12,45.12,,0.0,45.12
O0000039,O0000039-1,SKU00097,1,30.01,30.01,,0.0,30.01
O0000039,O0000039-2,SKU00075,1,53.82,53.82,,0.0,53.82
O0000039,O0000039-3,SKU00197,1,32.23,32.23,,0.0,32.23
O0000040,O0000040-1,SKU00106,1,24.61,24.61,,0.0,24.61
O0000041,O0000041-1,SKU00381,1,81.55,81.55,,0.0,81.55
O0000042,O0000042-1,SKU00184,1,34.06,34.06,,0.0,34.06
O0000043,O0000043-1,SKU00234,1,20.16,20.16,,0.0,20.16
O0000043,O0000043-2,SKU00206,3,31.05,93.15,,0.0,93.15
O0000043,O0000043-3,SKU00125,1,30.05,30.05,,0.0,30.05
O0000044,O0000044-1,SKU00211,1,88.68,88.68,,0.0,88.68
O0000045,O0000045-1,SKU00265,1,26.72,26.72,,0.0,26.72
O0000046,O0000046-1,SKU00392,1,45.36,45.36,,0.0,45.36
O0000047,O0000047-1,SKU00367,1,50.59,50.59,,0.0,50.59
O0000047,O0000047-2,SKU00253,1,51.01,51.01,,0.0,51.01
O0000047,O0000047-3,SKU00232,1,34.95,34.95,,0.0,34.95
O0000048,O0000048-1,SKU00145,1,34.93,34.93,,0.0,34.93
O0000049,O0000049-1,SKU00070,1,44.51,44.51,,0.0,44.51
O0000049,O0000049-2,SKU00123,3,28.95,86.85,,0.0,86.85
O0000050,O0000050-1,SKU00391,1,57.23,57.23,,0.0,57.23
O0000050,O0000050-2,SKU00170,1,29.26,29.26,,0.0,29.26
O0000050,O0000050-3,SKU00206,1,31.05,31.05,,0.0,31.05
O0000051,O0000051-1,SKU00199,1,60.64,60.64,,0.0,60.64
O0000051,O0000051-2,SKU00076,1,31.8,31.8,,0.0,31.8
O0000052,O0000052-1,SKU00260,1,38.96,38.96,,0.0,38.96
O0000052,O0000052-2,SKU00140,2,56.17,112.34,,0.0,112.34
O0000053,O0000053-1,SKU00002,2,57.3,114.6,,0.0,114.6
O0000054,O0000054-1,SKU00220,1,42.7,42.7,,0.0,42.7
O0000055,O0000055-1,SKU00314,1,39.09,39.09,,0.0,39.09
O0000055,O0000055-2,SKU00236,2,32.17,64.34,,0.0,64.34
O0000055,O0000055-3,SKU00181,2,47.26,94.52,,0.0,94.52
O0000055,O0000055-4,SKU00075,1,53.82,53.82,,0.0,53.82
O0000056,O0000056-1,SKU00103,1,32.28,32.28,,0.0,32.28
O0000057,O0000057-1,SKU00117,1,30.62,30.62,,0.0,30.62
O0000057,O0000057-2,SKU00099,1,22.33,22.33,,0.0,22.33
O0000058,O0000058-1,SKU00083,3,54.82,164.46,,0.0,164.46
O0000059,O0000059-1,SKU00049,1,49.27,49.27,,0.0,49.27
O0000059,O0000059-2,SKU00287,1,61.4,61.4,,0.0,61.4
O0000060,O0000060-1,SKU00329,1,37.64,37.64,,0.0,37.64
O0000061,O0000061-1,SKU00165,1,18.9,18.9,,0.0,18.9
O0000061,O0000061-2,SKU00109,1,88.61,88.61,,0.0,88.61
O0000062,O0000062-1,SKU00331,1,21.15,21.15,,0.0,21.15
O0000062,O0000062-2,SKU00114,1,29.46,29.46,,0.0,29.46
O0000063,O0000063-1,SKU00077,1,17.01,17.01,,0.0,17.01
O0000064,O0000064-1,SKU00113,3,49.01,147.03,,0.0,147.03
O0000065,O0000065-1,SKU00006,1,31.28,31.28,,0.0,31.28
O0000065,O0000065-2,SKU00069,2,19.77,39.54,,0.0,39.54
O0000065,O0000065-3,SKU00186,1,34.13,34.13,,0.0,34.13
O0000066,O0000066-1,SKU00172,1,17.17,17.17,,0.0,17.17
O0000066,O0000066-2,SKU00105,1,52.33,52.33,,0.0,52.33
O0000066,O0000066-3,SKU00225,1,25.36,25.36,,0.0,25.36
O0000067,O0000067-1,SKU00090,3,36.81,110.43,,0.0,110.43
O0000067,O0000067-2,SKU00031,1,49.75,49.75,,0.0,49.75
O0000067,O0000067-3,SKU00089,1,49.77,49.77,,0.0,49.77
O0000067,O0000067-4,SKU00110,1,38.93,38.93,,0.0,38.93
O0000068,O0000068-1,SKU00021,2,49.41,98.82,,0.0,98.82
O0000068,O0000068-2,SKU00199,1,60.64,60.64,,0.0,60.64
O0000068,O0000068-3,SKU00361,2,44.18,88.36,,0.0,88.36
O0000068,O0000068-4,SKU00198,1,39.26,39.26,,0.0,39.26
O0000069,O0000069-1,SKU00315,1,65.19,65.19,,0.0,65.19
O0000069,O0000069-2,SKU00241,1,46.38,46.38,,0.0,46.38
O0000070,O0000070-1,SKU00299,1,33.57,33.57,,0.0,33.57
O0000071,O0000071-1,SKU00335,1,18.97,18.97,,0.0,18.97
O0000072,O0000072-1,SKU00286,1,54.7,54.7,,0.0,54.7
O0000072,O0000072-2,SKU00382,1,19.75,19.75,,0.0,19.75
O0000072,O0000072-3,SKU00249,1,31.28,31.28,,0.0,31.28
O0000073,O0000073-1,SKU00144,1,27.92,27.92,,0.0,27.92
O0000074,O0000074-1,SKU00113,2,49.01,98.02,,0.0,98.02
O0000075,O0000075-1,SKU00322,2,22.71,45.42,,0.0,45.42
O0000076,O0000076-1,SKU00150,1,41.46,41.46,,0.0,41.46
O0000076,O0000076-2,SKU00399,1,38.17,38.17,,0.0,38.17
O0000076,O0000076-3,SKU00181,1,47.26,47.26,,0.0,47.26
O0000077,O0000077-1,SKU00122,1,22.77,22.77,,0.0,22.77
O0000078,O0000078-1,SKU00123,1,28.95,28.95,,0.0,28.95
O0000079,O0000079-1,SKU00349,2,18.05,36.1,,0.0,36.1
O0000079,O0000079-2,SKU00321,1,13.85,13.85,,0.0,13.85
O0000080,O0000080-1,SKU00083,1,54.82,54.82,,0.0,54.82
O0000081,O0000081-1,SKU00074,1,76.62,76.62,,0.0,76.62
O0000081,O0000081-2,SKU00118,1,21.46,21.46,,0.0,21.46
O0000082,O0000082-1,SKU00139,1,52.17,52.17,,0.0,52.17
O0000082,O0000082-2,SKU00120,1,19.69,19.69,,0.0,19.69
O0000082,O0000082-3,SKU00252,1,57.03,57.03,,0.0,57.03
O0000083,O0000083-1,SKU00160,1,42.59,42.59,,0.0,42.59
O0000083,O0000083-2,SKU00328,1,35.12,35.12,,0.0,35.12
O0000084,O0000084-1,SKU00400,1,33.96,33.96,,0.0,33.96
O0000085,O0000085-1,SKU00089,1,49.77,49.77,,0.0,49.77
O0000085,O0000085-2,SKU00190,1,45.12,45.12,,0.0,45.12
O0000086,O0000086-1,SKU00189,1,53.14,53.14,,0.0,53.14
O0000086,O0000086-2,SKU00253,1,51.01,51.01,,0.0,51.01
O0000087,O0000087-1,SKU00186,1,34.13,34.13,,0.0,34.13
O0000087,O0000087-2,SKU00289,1,47.79,47.79,,0.0,47.79
O0000087,O0000087-3,SKU00212,1,20.15,20.15,,0.0,20.15
O0000087,O0000087-4,SKU00085,1,51.96,51.96,,0.0,51.96
O0000088,O0000088-1,SKU00005,1,8.67,8.67,,0.0,8.67
O0000088,O0000088-2,SKU00352,1,37.11,37.11,,0.0,37.11
O0000088,O0000088-3,SKU00084,3,33.92,101.76,,0.0,101.76
O0000088,O0000088-4,SKU00204,3,59.25,177.75,,0.0,177.75
O0000089,O0000089-1,SKU00203,1,71.32,71.32,,0.0,71.32
O0000090,O0000090-1,SKU00221,1,31.0,31.0,,0.0,31.0
O0000090,O0000090-2,SKU00304,1,28.55,28.55,,0.0,28.55
O0000090,O0000090-3,SKU00195,1,41.24,41.24,,0.0,41.24
O0000090,O0000090-4,SKU00043,1,50.54,50.54,,0.0,50.54
O0000091,O0000091-1,SKU00169,1,38.7,38.7,,0.0,38.7
O0000092,O0000092-1,SKU00376,1,37.84,37.84,,0.0,37.84
O0000093,O0000093-1,SKU00103,1,32.28,32.28,,0.0,32.28
O0000093,O0000093-2,SKU00170,1,29.26,29.26,,0.0,29.26
O0000094,O0000094-1,SKU00067,1,20.67,20.67,,0.0,20.67
O0000094,O0000094-2,SKU00330,1,61.47,61.47,,0.0,61.47
O0000095,O0000095-1,SKU00122,1,22.77,22.77,,0.0,22.77
O0000095,O0000095-2,SKU00086,1,72.82,72.82,,0.0,72.82
O0000096,O0000096-1,SKU00175,1,44.19,44.19,,0.0,44.19
O0000096,O0000096-2,SKU00363,1,45.39,45.39,,0.0,45.39
O0000097,O0000097-1,SKU00041,2,31.32,62.64,,0.0,62.64
O0000098,O0000098-1,SKU00037,1,30.33,30.33,,0.0,30.33
O0000098,O0000098-2,SKU00009,1,52.68,52.68,,0.0,52.68
O0000099,O0000099-1,SKU00312,1,39.88,39.88,,0.0,39.88
O0000099,O0000099-2,SKU00385,1,57.12,57.12,,0.0,57.12
O0000100,O0000100-1,SKU00241,1,46.38,46.38,,0.0,46.38
O0000101,O0000101-1,SKU00267,1,82.59,82.59,,0.0,82.59
O0000101,O0000101-2,SKU00121,1,58.38,58.38,,0.0,58.38
O0000101,O0000101-3,SKU00028,1,35.88,35.88,,0.0,35.88
O0000102,O0000102-1,SKU00039,3,59.8,179.4,,0.0,179.4
O0000102,O0000102-2,SKU00099,2,22.33,44.66,,0.0,44.66
O0000103,O0000103-1,SKU00167,1,22.6,22.6,,0.0,22.6
O0000103,O0000103-2,SKU00195,1,41.24,41.24,,0.0,41.24
O0000103,O0000103-3,SKU00255,1,82.33,82.33,,0.0,82.33
O0000104,O0000104-1,SKU00203,1,71.32,71.32,,0.0,71.32
O0000104,O0000104-2,SKU00086,1,72.82,72.82,,0.0,72.82
O0000104,O0000104-3,SKU00299,2,33.57,67.14,,0.0,67.14
O0000105,O0000105-1,SKU00227,2,105.48,210.96,,0.0,210.96
O0000105,O0000105-2,SKU00400,1,33.96,33.96,,0.0,33.96
O0000106,O0000106-1,SKU00323,1,39.02,39.02,,0.0,39.02
O0000107,O0000107-1,SKU00189,1,53.14,53.14,,0.0,53.14
O0000108,O0000108-1,SKU00400,1,33.96,33.96,,0.0,33.96
O0000108,O0000108-2,SKU00124,1,29.76,29.76,,0.0,29.76
O0000108,O0000108-3,SKU00071,3,50.63,151.89,,0.0,151.89
O0000108,O0000108-4,SKU00369,2,42.23,84.46,,0.0,84.46
O0000109,O0000109-1,SKU00120,1,19.69,19.69,,0.0,19.69
O0000110,O0000110-1,SKU00076,1,31.8,31.8,,0.0,31.8
O0000111,O0000111-1,SKU00219,1,65.58,65.58,,0.0,65.58
O0000111,O0000111-2,SKU00366,1,33.09,33.09,,0.0,33.09
O0000112,O0000112-1,SKU00342,1,38.94,38.94,,0.0,38.94
O0000112,O0000112-2,SKU00176,1,24.92,24.92,,0.0,24.92
O0000112,O0000112-3,SKU00322,1,22.71,22.71,,0.0,22.71
O0000113,O0000113-1,SKU00314,2,39.09,78.18,,0.0,78.18
O0000113,O0000113-2,SKU00081,1,30.86,30.86,,0.0,30.86
O0000114,O0000114-1,SKU00307,1,36.83,36.83,,0.0,36.83
O0000115,O0000115-1,SKU00087,1,22.83,22.83,,0.0,22.83
O0000115,O0000115-2,SKU00156,3,25.39,76.17,,0.0,76.17
O0000115,O0000115-3,SKU00019,1,23.04,23.04,,0.0,23.04
O0000116,O0000116-1,SKU00275,1,50.32,50.32,,0.0,50.32
O0000116,O0000116-2,SKU00109,1,88.61,88.61,,0.0,88.61
O0000116,O0000116-3,SKU00355,3,41.61,124.83,,0.0,124.83
O0000116,O0000116-4,SKU00114,1,29.46,29.46,,0.0,29.46
O0000117,O0000117-1,SKU00307,2,36.83,73.66,,0.0,73.66
O0000118,O0000118-1,SKU00251,1,23.58,23.58,,0.0,23.58
O0000118,O0000118-2,SKU00397,1,66.5,66.5,,0.0,66.5
O0000119,O0000119-1,SKU00197,2,32.23,64.46,,0.0,64.46
O0000119,O0000119-2,SKU00189,1,53.14,53.14,,0.0,53.14
O0000120,O0000120-1,SKU00270,1,46.55,46.55,,0.0,46.55
O0000120,O0000120-2,SKU00100,2,17.02,34.04,,0.0,34.04
O0000120,O0000120-3,SKU00348,1,64.96,64.96,,0.0,64.96
O0000121,O0000121-1,SKU00120,1,19.69,19.69,,0.0,19.69
O0000122,O0000122-1,SKU00233,1,21.18,21.18,,0.0,21.18
O0000123,O0000123-1,SKU00081,1,30.86,30.86,,0.0,30.86
O0000123,O0000123-2,SKU00281,1,52.93,52.93,,0.0,52.93
O0000124,O0000124-1,SKU00119,1,37.15,37.15,,0.0,37.15
O0000124,O0000124-2,SKU00039,1,59.8,59.8,,0.0,59.8
O0000124,O0000124-3,SKU00167,1,22.6,22.6,,0.0,22.6
O0000124,O0000124-4,SKU00359,1,26.27,26.27,,0.0,26.27
O0000125,O0000125-1,SKU00071,1,50.63,50.63,,0.0,50.63
O0000126,O0000126-1,SKU00079,1,43.31,43.31,,0.0,43.31
O0000126,O0000126-2,SKU00388,2,37.93,75.86,,0.0,75.86
O0000126,O0000126-3,SKU00243,2,34.82,69.64,,0.0,69.64
O0000126,O0000126-4,SKU00298,1,21.47,21.47,,0.0,21.47
O0000127,O0000127-1,SKU00113,1,49.01,49.01,,0.0,49.01
O0000128,O0000128-1,SKU00379,1,36.36,36.36,,0.0,36.36
O0000128,O0000128-2,SKU00045,1,35.31,35.31,,0.0,35.31
O0000129,O0000129-1,SKU00120,2,19.69,39.38,,0.0,39.38
O0000130,O0000130-1,SKU00391,1,57.23,57.23,,0.0,57.23
O0000130,O0000130-2,SKU00198,1,39.26,39.26,,0.0,39.26
O0000131,O0000131-1,SKU00274,1,14.47,14.47,,0.0,14.47
O0000131,O0000131-2,SKU00247,1,43.87,43.87,,0.0,43.87
O0000131,O0000131-3,SKU00390,1,38.26,38.26,,0.0,38.26
O0000131,O0000131-4,SKU00340,1,30.34,30.34,,0.0,30.34
O0000132,O0000132-1,SKU00134,1,31.13,31.13,,0.0,31.13
O0000132,O0000132-2,SKU00292,1,51.63,51.63,,0.0,51.63
O0000132,O0000132-3,SKU00245,1,49.62,49.62,,0.0,49.62
O0000132,O0000132-4,SKU00026,1,45.44,45.44,,0.0,45.44
O0000133,O0000133-1,SKU00241,2,46.38,92.76,,0.0,92.76
O0000133,O0000133-2,SKU00315,2,65.19,130.38,,0.0,130.38
O0000134,O0000134-1,SKU00047,2,79.17,158.34,,0.0,158.34
O0000134,O0000134-2,SKU00382,1,19.75,19.75,,0.0,19.75
O0000134,O0000134-3,SKU00078,1,17.22,17.22,,0.0,17.22
O0000134,O0000134-4,SKU00384,2,16.39,32.78,,0.0,32.78
O0000135,O0000135-1,SKU00040,1,46.34,46.34,,0.0,46.34
O0000136,O0000136-1,SKU00034,1,45.57,45.57,,0.0,45.57
O0000137,O0000137-1,SKU00219,1,65.58,65.58,,0.0,65.58
O0000137,O0000137-2,SKU00335,1,18.97,18.97,,0.0,18.97
O0000138,O0000138-1,SKU00251,1,23.58,23.58,,0.0,23.58
O0000138,O0000138-2,SKU00236,1,32.17,32.17,,0.0,32.17
O0000138,O0000138-3,SKU00313,1,49.13,49.13,,0.0,49.13
O0000138,O0000138-4,SKU00132,1,44.43,44.43,,0.0,44.43
O0000139,O0000139-1,SKU00258,2,50.85,101.7,,0.0,101.7
O0000139,O0000139-2,SKU00331,1,21.15,21.15,,0.0,21.15
O0000140,O0000140-1,SKU00021,2,49.41,98.82,,0.0,98.82
O0000141,O0000141-1,SKU00094,1,56.4,56.4,,0.0,56.4
O0000141,O0000141-2,SKU00119,1,37.15,37.15,,0.0,37.15
O0000141,O0000141-3,SKU00318,1,30.41,30.41,,0.0,30.41
O0000142,O0000142-1,SKU00311,1,60.22,60.22,,0.0,60.22
O0000142,O0000142-2,SKU00164,1,38.71,38.71,,0.0,38.71
O0000142,O0000142-3,SKU00213,1,45.05,45.05,,0.0,45.05
O0000143,O0000143-1,SKU00062,1,38.63,38.63,,0.0,38.63
O0000143,O0000143-2,SKU00246,1,38.15,38.15,,0.0,38.15
O0000143,O0000143-3,SKU00100,1,17.02,17.02,,0.0,17.02
O0000144,O0000144-1,SKU00399,1,38.17,38.17,,0.0,38.17
O0000144,O0000144-2,SKU00237,1,54.4,54.4,,0.0,54.4
O0000145,O0000145-1,SKU00212,1,20.15,20.15,,0.0,20.15
O0000145,O0000145-2,SKU00122,2,22.77,45.54,,0.0,45.54
O0000145,O0000145-3,SKU00396,1,15.54,15.54,,0.0,15.54
O0000145,O0000145-4,SKU00110,1,38.93,38.93,,0.0,38.93
O0000146,O0000146-1,SKU00143,1,18.48,18.48,,0.0,18.48
O0000146,O0000146-2,SKU00267,2,82.59,165.18,,0.0,165.18
O0000147,O0000147-1,SKU00319,2,45.64,91.28,,0.0,91.28
O0000147,O0000147-2,SKU00334,1,17.99,17.99,,0.0,17.99
O0000147,O0000147-3,SKU00051,2,57.83,115.66,,0.0,115.66
O0000148,O0000148-1,SKU00079,1,43.31,43.31,,0.0,43.31
O0000148,O0000148-2,SKU00322,1,22.71,22.71,,0.0,22.71
O0000148,O0000148-3,SKU00013,1,31.04,31.04,,0.0,31.04
O0000148,O0000148-4,SKU00029,1,36.29,36.29,,0.0,36.29
O0000149,O0000149-1,SKU00295,2,42.42,84.84,,0.0,84.84
O0000149,O0000149-2,SKU00161,1,12.51,12.51,,0.0,12.51
O0000149,O0000149-3,SKU00357,1,23.0,23.0,,0.0,23.0
O0000150,O0000150-1,SKU00033,1,24.44,24.44,,0.0,24.44
O0000150,O0000150-2,SKU00379,1,36.36,36.36,,0.0,36.36
O0000151,O0000151-1,SKU00303,1,66.84,66.84,,0.0,66.84
O0000151,O0000151-2,SKU00309,1,39.31,39.31,,0.0,39.31
O0000151,O0000151-3,SKU00109,1,88.61,88.61,,0.0,88.61
O0000151,O0000151-4,SKU00049,1,49.27,49.27,,0.0,49.27
O0000152,O0000152-1,SKU00058,1,55.01,55.01,,0.0,55.01
O0000152,O0000152-2,SKU00081,1,30.86,30.86,,0.0,30.86
O0000153,O0000153-1,SKU00350,1,53.2,53.2,,0.0,53.2
O0000153,O0000153-2,SKU00349,3,18.05,54.15,,0.0,54.15
O0000153,O0000153-3,SKU00129,1,38.65,38.65,,0.0,38.65
O0000153,O0000153-4,SKU00302,1,26.48,26.48,,0.0,26.48
O0000154,O0000154-1,SKU00070,1,44.51,44.51,,0.0,44.51
O0000154,O0000154-2,SKU00070,2,44.51,89.02,,0.0,89.02
O0000154,O0000154-3,SKU00266,1,28.62,28.62,,0.0,28.62
O0000155,O0000155-1,SKU00078,1,17.22,17.22,,0.0,17.22
O0000155,O0000155-2,SKU00266,1,28.62,28.62,,0.0,28.62
O0000155,O0000155-3,SKU00232,1,34.95,34.95,,0.0,34.95
O0000155,O0000155-4,SKU00391,1,57.23,57.23,,0.0,57.23
O0000156,O0000156-1,SKU00274,1,14.47,14.47,,0.0,14.47
O0000156,O0000156-2,SKU00350,1,53.2,53.2,,0.0,53.2
O0000157,O0000157-1,SKU00153,1,61.1,61.1,,0.0,61.1
O0000157,O0000157-2,SKU00034,2,45.57,91.14,,0.0,91.14
O0000158,O0000158-1,SKU00291,2,33.52,67.04,,0.0,67.04
O0000158,O0000158-2,SKU00083,1,54.82,54.82,,0.0,54.82
O0000158,O0000158-3,SKU00004,2,22.35,44.7,,0.0,44.7
O0000159,O0000159-1,SKU00248,1,48.06,48.06,,0.0,48.06
O0000159,O0000159-2,SKU00365,1,26.67,26.67,,0.0,26.67
O0000159,O0000159-3,SKU00216,2,68.72,137.44,,0.0,137.44
O0000160,O0000160-1,SKU00355,1,41.61,41.61,,0.0,41.61
O0000160,O0000160-2,SKU00251,1,23.58,23.58,,0.0,23.58
O0000161,O0000161-1,SKU00385,1,57.12,57.12,,0.0,57.12
O0000162,O0000162-1,SKU00206,1,31.05,31.05,,0.0,31.05
O0000163,O0000163-1,SKU00060,1,76.86,76.86,,0.0,76.86
O0000163,O0000163-2,SKU00120,1,19.69,19.69,,0.0,19.69
O0000164,O0000164-1,SKU00220,1,42.7,42.7,,0.0,42.7
O0000164,O0000164-2,SKU00276,1,22.08,22.08,,0.0,22.08
O0000165,O0000165-1,SKU00077,1,17.01,17.01,,0.0,17.01
O0000166,O0000166-1,SKU00094,1,56.4,56.4,,0.0,56.4
O0000166,O0000166-2,SKU00196,1,36.14,36.14,,0.0,36.14
O0000166,O0000166-3,SKU00343,1,45.56,45.56,,0.0,45.56
O0000167,O0000167-1,SKU00354,1,27.28,27.28,,0.0,27.28
O0000167,O0000167-2,SKU00339,1,36.52,36.52,,0.0,36.52
O0000167,O0000167-3,SKU00312,2,39.88,79.76,,0.0,79.76
O0000168,O0000168-1,SKU00290,1,42.67,42.67,,0.0,42.67
O0000168,O0000168-2,SKU00369,1,42.23,42.23,,0.0,42.23
O0000168,O0000168-3,SKU00340,1,30.34,30.34,,0.0,30.34
O0000169,O0000169-1,SKU00320,1,20.06,20.06,,0.0,20.06
O0000169,O0000169-2,SKU00296,1,48.03,48.03,,0.0,48.03
O0000169,O0000169-3,SKU00184,1,34.06,34.06,,0.0,34.06
O0000170,O0000170-1,SKU00230,1,49.13,49.13,,0.0,49.13
O0000170,O0000170-2,SKU00205,2,35.8,71.6,,0.0,71.6
O0000171,O0000171-1,SKU00156,1,25.39,25.39,,0.0,25.39
O0000172,O0000172-1,SKU00058,1,55.01,55.01,,0.0,55.01
O0000172,O0000172-2,SKU00387,1,38.08,38.08,,0.0,38.08
O0000173,O0000173-1,SKU00314,2,39.09,78.18,,0.0,78.18
O0000174,O0000174-1,SKU00333,1,45.51,45.51,,0.0,45.51
O0000175,O0000175-1,SKU00062,1,38.63,38.63,,0.0,38.63
O0000176,O0000176-1,SKU00045,1,35.31,35.31,,0.0,35.31
O0000176,O0000176-2,SKU00205,1,35.8,35.8,,0.0,35.8
O0000176,O0000176-3,SKU00080,1,45.12,45.12,,0.0,45.12
