customer_id,segment,loyalty_tier,created_ts
C000108,Value,Silver,2023-06-11 00:00:00
C000109,Enthusiast,Silver,2020-04-18 00:00:00
C000110,Casual,Platinum,2021-12-28 00:00:00
C000111,Professional,None,2024-05-28 00:00:00
C000112,Casual,Bronze,2022-09-25 00:00:00
C000113,Enthusiast,Silver,2021-12-14 00:00:00
C000114,Casual,Silver,2021-08-03 00:00:00
C000115,Value,Bronze,2024-11-08 00:00:00
C000116,Casual,Silver,2024-06-05 00:00:00
C000117,Professional,Bronze,2024-08-07 00:00:00
C000118,Casual,None,2021-04-04 00:00:00
C000119,Casual,Bronze,2024-05-20 00:00:00
C000120,Value,Bronze,2023-05-02 00:00:00
C000121,Professional,Silver,2024-07-19 00:00:00
C000122,Casual,Bronze,2024-09-01 00:00:00
C000123,Casual,Silver,2021-11-02 00:00:00
C000124,Enthusiast,Silver,2024-09-09 00:00:00
C000125,Casual,Silver,2022-08-17 00:00:00
C000126,Professional,Bronze,2021-06-19 00:00:00
C000127,Casual,Gold,2022-01-08 00:00:00
C000128,Value,None,2021-08-31 00:00:00
C000129,Enthusiast,Bronze,2020-05-07 00:00:00
C000130,Casual,None,2023-05-06 00:00:00
C000131,Enthusiast,Bronze,2021-03-29 00:00:00
C000132,Casual,Gold,2022-02-03 00:00:00
C000133,Professional,None,2023-06-25 00:00:00
C000134,Professional,Bronze,2022-06-17 00:00:00
C000135,Professional,Bronze,2023-09-11 00:00:00
C000136,Professional,None,2024-07-18 00:00:00
C000137,Value,Silver,2023-10-12 00:00:00
C000138,Enthusiast,None,2023-08-02 00:00:00
C000139,Enthusiast,Silver,2023-09-06 00:00:00
C000140,Enthusiast,Bronze,2022-02-25 00:00:00
C000141,Professional,Bronze,2024-06-19 00:00:00
C000142,Professional,Bronze,2022-05-21 00:00:00
C000143,Value,Bronze,2021-01-19 00:00:00
C000144,Professional,Bronze,2024-06-27 00:00:00
C000145,Professional,None,2022-03-19 00:00:00
C000146,Enthusiast,Bronze,2024-09-16 00:00:00
C000147,Professional,Bronze,2024-05-20 00:00:00
C000148,Enthusiast,Gold,2020-08-19 00:00:00
C000149,Enthusiast,Bronze,2024-11-05 00:00:00
C000150,Value,Bronze,2020-04-02 00:00:00
C000151,Casual,Bronze,2022-04-12 00:00:00
C000152,Professional,Gold,2023-05-24 00:00:00
C000153,Professional,Bronze,2022-01-28 00:00:00
C000154,Casual,None,2022-07-26 00:00:00
C000155,Casual,Silver,2020-03-14 00:00:00
C000156,Value,None,2023-07-10 00:00:00
C000157,Enthusiast,Bronze,2022-08-23 00:00:00
C000158,Professional,Bronze,2024-05-22 00:00:00
C000159,Value,Bronze,2023-02-23 00:00:00
C000160,Enthusiast,Silver,2024-04-18 00:00:00
C000161,Casual,None,2022-05-17 00:00:00
C000162,Value,None,2020-06-06 00:00:00
C000163,Value,Gold,2024-02-01 00:00:00
C000164,Enthusiast,None,2022-11-25 00:00:00
C000165,Value,Bronze,2021-12-08 00:00:00
C000166,Enthusiast,Silver,2022-10-14 00:00:00
C000167,Enthusiast,None,2021-06-12 00:00:00
C000168,Enthusiast,Silver,2022-10-17 00:00:00
C000169,Enthusiast,None,2022-07-12 00:00:00
C000170,Enthusiast,None,2024-05-03 00:00:00
C000171,Enthusiast,Silver,2020-11-18 00:00:00
C000172,Enthusiast,None,2022-12-23 00:00:00
C000173,Value,None,2020-10-22 00:00:00
C000174,Casual,None,2020-09-04 00:00:00
C000175,Enthusiast,Silver,2023-06-11 00:00:00
C000176,Value,Gold,2022-09-23 00:00:00
C000177,Value,Silver,2024-08-08 00:00:00
C000178,Value,Silver,2020-12-14 00:00:00
C000179,Value,Bronze,2022-11-08 00:00:00
C000180,Enthusiast,Bronze,2023-12-09 00:00:00
C000181,Professional,Gold,2023-12-17 00:00:00
C000182,Enthusiast,Silver,2020-09-07 00:00:00
C000183,Value,Bronze,2024-09-17 00:00:00
C000184,Enthusiast,Bronze,2023-04-30 00:00:00
C000185,Value,Gold,2020-05-24 00:00:00
C000186,Enthusiast,Bronze,2021-08-06 00:00:00
C000187,Enthusiast,Gold,2022-03-29 00:00:00
C000188,Casual,Gold,2024-12-17 00:00:00
C000189,Casual,Bronze,2023-09-11 00:00:00
C000190,Casual,Bronze,2024-07-29 00:00:00
C000191,Casual,None,2022-09-19 00:00:00
C000192,Casual,None,2020-03-16 00:00:00
C000193,Enthusiast,Bronze,2023-09-10 00:00:00
C000194,Value,None,2023-02-16 00:00:00
C000195,Casual,None,2021-05-30 00:00:00
C000196,Professional,Bronze,2024-07-17 00:00:00
C000197,Casual,Bronze,2021-07-13 00:00:00
C000198,Value,None,2021-05-13 00:00:00
C000199,Enthusiast,Silver,2022-09-01 00:00:00
C000200,Value,Gold,2021-07-21 00:00:00
C000201,Casual,Bronze,2022-01-12 00:00:00
C000202,Professional,None,2020-10-24 00:00:00
C000203,Professional,None,2024-11-24 00:00:00
C000204,Casual,None,2023-10-23 00:00:00
C000205,Enthusiast,None,2020-01-03 00:00:00
C000206,Value,Silver,2024-09-20 00:00:00
C000207,Value,Platinum,2021-11-04 00:00:00
C000208,Value,Gold,2023-01-09 00:00:00
C000209,Casual,Silver,2022-02-26 00:00:00
C000210,Enthusiast,Gold,2023-08-10 00:00:00
C000211,Casual,Silver,2022-01-11 00:00:00
C000212,Value,Gold,2024-05-22 00:00:00
C000213,Casual,None,2023-02-12 00:00:00
C000214,Enthusiast,Gold,2024-07-29 00:00:00
C000215,Casual,Bronze,2023-10-30 00:00:00
C000216,Value,Silver,2022-10-07 00:00:00
C000217,Casual,None,2020-07-30 00:00:00
C000218,Casual,Gold,2020-10-22 00:00:00
C000219,Value,Platinum,2023-09-29 00:00:00
C000220,Value,Bronze,2024-07-14 00:00:00
C000221,Enthusiast,None,2021-08-13 00:00:00
C000222,Professional,None,2021-10-29 00:00:00
C000223,Value,None,2022-02-22 00:00:00
C000224,Enthusiast,Bronze,2020-02-04 00:00:00
C000225,Enthusiast,Bronze,2020-07-16 00:00:00
C000226,Enthusiast,Bronze,2024-02-29 00:00:00
C000227,Value,Gold,2021-08-29 00:00:00
C000228,Professional,None,2023-12-04 00:00:00
C000229,Value,None,2022-10-16 00:00:00
C000230,Professional,Bronze,2020-07-13 00:00:00
C000231,Enthusiast,None,2023-06-23 00:00:00
C000232,Enthusiast,Bronze,2024-11-05 00:00:00
C000233,Enthusiast,Bronze,2023-08-30 00:00:00
C000234,Casual,None,2023-11-13 00:00:00
C000235,Value,None,2022-04-21 00:00:00
C000236,Enthusiast,Silver,2023-04-08 00:00:00
C000237,Value,Silver,2021-06-16 00:00:00
C000238,Value,Bronze,2022-11-23 00:00:00
C000239,Casual,Silver,2024-06-26 00:00:00
C000240,Value,Bronze,2023-06-22 00:00:00
C000241,Casual,Bronze,2023-05-05 00:00:00
C000242,Value,Bronze,2022-07-11 00:00:00
C000243,Enthusiast,None,2021-08-28 00:00:00
C000244,Casual,Platinum,2024-01-27 00:00:00
C000245,Professional,Platinum,2024-05-27 00:00:00
C000246,Professional,Silver,2020-04-28 00:00:00
C000247,Value,Bronze,2024-11-22 00:00:00
C000248,Value,Bronze,2021-05-28 00:00:00
C000249,Enthusiast,Bronze,2023-10-14 00:00:00
C000250,Casual,Bronze,2023-03-23 00:00:00
C000251,Casual,None,2022-02-13 00:00:00
C000252,Casual,Bronze,2021-03-04 00:00:00
C000253,Casual,Bronze,2023-06-14 00:00:00
C000254,Value,None,2024-08-07 00:00:00
C000255,Value,None,2023-07-30 00:00:00
C000256,Professional,Gold,2020-11-10 00:00:00
C000257,Enthusiast,Bronze,2023-09-01 00:00:00
C000258,Value,None,2023-03-11 00:00:00
C000259,Enthusiast,Gold,2021-01-12 00:00:00
C000260,Value,None,2022-03-18 00:00:00
C000261,Value,Gold,2020-11-30 00:00:00
C000262,Professional,Bronze,2020-02-04 00:00:00
C000263,Casual,Gold,2022-05-14 00:00:00
C000264,Value,Gold,2021-05-31 00:00:00
C000265,Casual,Platinum,2023-09-12 00:00:00
C000266,Enthusiast,Silver,2021-12-24 00:00:00
C000267,Casual,Bronze,2020-04-23 00:00:00
C000268,Value,Bronze,2020-03-26 00:00:00
C000269,Enthusiast,Bronze,2020-09-24 00:00:00
C000270,Professional,Silver,2020-06-27 00:00:00
C000271,Enthusiast,Gold,2022-08-07 00:00:00
C000272,Casual,Silver,2024-11-30 00:00:00
C000273,Casual,None,2023-04-26 00:00:00
C000274,Enthusiast,Platinum,2022-03-26 00:00:00
C000275,Value,None,2024-10-19 00:00:00
C000276,Enthusiast,Silver,2023-11-24 00:00:00
C000277,Casual,None,2020-04-09 00:00:00
C000278,Professional,Bronze,2022-04-17 00:00:00
C000279,Professional,Bronze,2023-10-17 00:00:00
C000280,Value,None,2024-01-03 00:00:00
C000281,Professional,Platinum,2021-05-25 00:00:00
C000282,Casual,Bronze,2020-04-04 00:00:00
C000283,Professional,Bronze,2020-02-12 00:00:00
C000284,Enthusiast,None,2023-05-01 00:00:00
C000285,Value,Bronze,2023-02-02 00:00:00
C000286,Value,Gold,2024-07-29 00:00:00
C000287,Casual,None,2022-05-24 00:00:00
C000288,Professional,Silver,2024-12-18 00:00:00
C000289,Casual,Bronze,2022-07-31 00:00:00
C000290,Value,Bronze,2021-03-06 00:00:00
C000291,Value,Bronze,2021-11-03 00:00:00
C000292,Casual,Bronze,2021-07-15 00:00:00
C000293,Enthusiast,Silver,2024-04-22 00:00:00
C000294,Enthusiast,Silver,2023-07-25 00:00:00
C000295,Enthusiast,None,2020-09-29 00:00:00
C000296,Value,Gold,2021-02-20 00:00:00
C000297,Professional,Bronze,2023-04-04 00:00:00
C000298,Professional,None,2022-01-14 00:00:00
C000299,Professional,None,2022-12-02 00:00:00
C000300,Value,Bronze,2023-12-28 00:00:00
C000301,Enthusiast,Silver,2023-11-19 00:00:00
C000302,Enthusiast,None,2021-04-05 00:00:00
C000303,Professional,None,2022-05-10 00:00:00
C000304,Enthusiast,None,2023-03-21 00:00:00
C000305,Casual,Silver,2023-03-08 00:00:00
C000306,Casual,Bronze,2022-01-02 00:00:00
C000307,Casual,Bronze,2021-08-12 00:00:00
C000308,Professional,Silver,2020-06-07 00:00:00
C000309,Professional,Bronze,2023-11-28 00:00:00
C000310,Professional,Bronze,2023-06-25 00:00:00
C000311,Professional,None,2022-12-04 00:00:00
C000312,Enthusiast,Bronze,2020-09-28 00:00:00
C000313,Professional,None,2022-07-31 00:00:00
C000314,Value,Platinum,2023-08-22 00:00:00
C000315,Enthusiast,Bronze,2024-08-13 00:00:00
C000316,Casual,None,2023-09-01 00:00:00
C000317,Casual,None,2024-07-13 00:00:00
C000318,Professional,Silver,2021-06-09 00:00:00
C000319,Enthusiast,None,2024-10-19 00:00:00
C000320,Casual,Bronze,2023-02-26 00:00:00
C000321,Casual,Gold,2024-12-14 00:00:00
C000322,Professional,Gold,2023-08-01 00:00:00
C000323,Value,None,2024-02-07 00:00:00
C000324,Enthusiast,Gold,2023-06-19 00:00:00
C000325,Value,Silver,2022-10-31 00:00:00
C000326,Professional,Silver,2022-10-26 00:00:00
C000327,Value,Silver,2022-04-29 00:00:00
C000328,Enthusiast,Silver,2020-08-01 00:00:00
C000329,Value,None,2024-12-14 00:00:00
C000330,Professional,Bronze,2024-02-04 00:00:00
C000331,Value,None,2023-02-11 00:00:00
C000332,Casual,Gold,2024-05-01 00:00:00
C000333,Enthusiast,Bronze,2024-05-18 00:00:00
C000334,Professional,Gold,2022-07-12 00:00:00
C000335,Casual,Platinum,2023-06-09 00:00:00
C000336,Value,None,2022-04-08 00:00:00
C000337,Enthusiast,Gold,2021-06-24 00:00:00
C000338,Enthusiast,None,2020-12-18 00:00:00
C000339,Enthusiast,Platinum,2020-06-25 00:00:00
C000340,Value,Silver,2022-09-19 00:00:00
C000341,Casual,Bronze,2022-10-06 00:00:00
C000342,Professional,Silver,2022-04-29 00:00:00
C000343,Casual,Bronze,2021-09-13 00:00:00
C000344,Professional,Silver,2020-01-10 00:00:00
C000345,Professional,None,2023-03-09 00:00:00
C000346,Enthusiast,None,2024-08-15 00:00:00
C000347,Value,Bronze,2020-03-26 00:00:00
C000348,Value,None,2023-04-02 00:00:00
C000349,Casual,Silver,2021-12-23 00:00:00
C000350,Professional,Bronze,2023-03-12 00:00:00
C000351,Enthusiast,Silver,2022-03-23 00:00:00
C000352,Casual,Silver,2024-01-28 00:00:00
C000353,Casual,Bronze,2021-09-10 00:00:00
C000354,Casual,Gold,2021-04-10 00:00:00
C000355,Enthusiast,Bronze,2024-04-18 00:00:00
C000356,Enthusiast,Gold,2021-01-23 00:00:00
C000357,Casual,Bronze,2022-11-10 00:00:00
C000358,Enthusiast,None,2022-04-15 00:00:00
C000359,Professional,None,2021-11-05 00:00:00
C000360,Casual,Gold,2023-05-06 00:00:00
C000361,Casual,Bronze,2022-09-01 00:00:00
C000362,Value,None,2021-05-15 00:00:00
C000363,Enthusiast,None,2020-01-30 00:00:00
C000364,Enthusiast,Bronze,2021-08-05 00:00:00
C000365,Enthusiast,None,2021-11-14 00:00:00
C000366,Enthusiast,None,2022-01-15 00:00:00
C000367,Professional,None,2024-06-27 00:00:00
C000368,Value,Silver,2021-09-25 00:00:00
C000369,Casual,None,2020-10-04 00:00:00
C000370,Professional,Bronze,2021-02-26 00:00:00
C000371,Professional,Silver,2021-07-28 00:00:00
C000372,Enthusiast,Bronze,2023-10-08 00:00:00
C000373,Professional,Platinum,2023-10-24 00:00:00
C000374,Casual,None,2024-10-06 00:00:00
C000375,Casual,Silver,2022-08-14 00:00:00
C000376,Value,Bronze,2021-06-13 00:00:00
C000377,Enthusiast,Silver,2024-10-28 00:00:00
C000378,Enthusiast,None,2021-05-26 00:00:00
C000379,Casual,Silver,2020-04-05 00:00:00
C000380,Professional,None,2020-07-29 00:00:00
C000381,Casual,Gold,2021-04-30 00:00:00
C000382,Value,Gold,2020-07-27 00:00:00
C000383,Casual,Bronze,2020-01-31 00:00:00
C000384,Casual,None,2020-08-13 00:00:00
C000385,Professional,Gold,2023-10-22 00:00:00
C000386,Professional,Bronze,2021-08-12 00:00:00
C000387,Value,Bronze,2023-10-28 00:00:00
C000388,Value,Silver,2024-08-01 00:00:00
C000389,Professional,None,2024-01-22 00:00:00
C000390,Value,None,2021-09-28 00:00:00
C000391,Professional,Bronze,2020-08-12 00:00:00
C000392,Professional,None,2020-02-08 00:00:00
C000393,Professional,Silver,2023-05-12 00:00:00
C000394,Casual,None,2021-01-23 00:00:00
C000395,Value,Gold,2021-12-18 00:00:00
C000396,Professional,Platinum,2023-06-08 00:00:00
C000397,Enthusiast,Gold,2024-04-02 00:00:00
C000398,Casual,Bronze,2021-06-19 00:00:00
C000399,Casual,None,2022-08-17 00:00:00
C000400,Professional,Silver,2021-10-26 00:00:00
C000401,Value,None,2023-08-05 00:00:00
C000402,Casual,Silver,2024-04-24 00:00:00
C000403,Professional,None,2021-09-21 00:00:00
C000404,Professional,None,2020-07-03 00:00:00
C000405,Professional,Bronze,2020-08-15 00:00:00
C000406,Casual,Bronze,2020-12-15 00:00:00
C000407,Enthusiast,Silver,2022-09-19 00:00:00
C000408,Casual,Bronze,2024-04-06 00:00:00
C000409,Professional,Silver,2023-02-25 00:00:00
C000410,Professional,Silver,2024-05-08 00:00:00
C000411,Professional,Gold,2022-06-08 00:00:00
C000412,Casual,Silver,2023-11-05 00:00:00
C000413,Enthusiast,None,2020-09-22 00:00:00
C000414,Professional,Bronze,2020-11-01 00:00:00
C000415,Enthusiast,None,2020-10-28 00:00:00
C000416,Casual,Bronze,2020-03-04 00:00:00
C000417,Enthusiast,Bronze,2023-08-04 00:00:00
C000418,Professional,None,2021-06-23 00:00:00
C000419,Professional,Bronze,2024-02-04 00:00:00
C000420,Professional,None,2020-11-05 00:00:00
C000421,Professional,None,2024-11-09 00:00:00
C000422,Professional,None,2020-01-30 00:00:00
C000423,Value,Silver,2023-07-09 00:00:00
C000424,Professional,None,2022-10-29 00:00:00
C000425,Casual,Silver,2023-12-25 00:00:00
C000426,Professional,None,2020-07-03 00:00:00
C000427,Enthusiast,Silver,2022-07-04 00:00:00
C000428,Professional,None,2023-04-07 00:00:00
C000429,Professional,Bronze,2021-09-23 00:00:00
C000430,Casual,None,2020-05-23 00:00:00
C000431,Enthusiast,Silver,2024-05-28 00:00:00
C000432,Casual,None,2022-07-27 00:00:00
C000433,Enthusiast,Bronze,2022-03-09 00:00:00
C000434,Professional,Bronze,2022-10-03 00:00:00
C000435,Professional,Silver,2022-11-06 00:00:00
C000436,Enthusiast,Gold,2023-12-03 00:00:00
C000437,Professional,Silver,2023-01-16 00:00:00
C000438,Casual,Silver,2022-06-25 00:00:00
C000439,Professional,Bronze,2020-03-29 00:00:00
C000440,Professional,Bronze,2024-08-02 00:00:00
C000441,Enthusiast,Bronze,2023-12-23 00:00:00
C000442,Casual,None,2021-07-11 00:00:00
C000443,Enthusiast,Bronze,2020-06-12 00:00:00
C000444,Value,Silver,2023-07-28 00:00:00
C000445,Value,Bronze,2020-07-01 00:00:00
C000446,Enthusiast,None,2020-07-20 00:00:00
C000447,Casual,Bronze,2021-07-05 00:00:00
C000448,Professional,Silver,2023-02-12 00:00:00
C000449,Value,Silver,2024-09-11 00:00:00
C000450,Value,None,2020-05-06 00:00:00
C000451,Casual,None,2023-04-23 00:00:00
C000452,Casual,Silver,2021-06-18 00:00:00
C000453,Casual,Silver,2020-04-03 00:00:00
C000454,Enthusiast,None,2020-07-09 00:00:00
C000455,Casual,Silver,2023-11-03 00:00:00
C000456,Casual,Silver,2021-12-07 00:00:00
C000457,Enthusiast,Gold,2022-03-06 00:00:00
C000458,Value,Silver,2021-03-20 00:00:00
C000459,Enthusiast,Silver,2020-01-07 00:00:00
C000460,Enthusiast,Silver,2024-07-12 00:00:00
C000461,Value,Silver,2023-01-18 00:00:00
C000462,Enthusiast,None,2021-09-19 00:00:00
C000463,Enthusiast,Silver,2024-05-21 00:00:00
C000464,Enthusiast,None,2022-05-18 00:00:00
C000465,Value,Silver,2021-01-26 00:00:00
C000466,Enthusiast,None,2023-04-21 00:00:00
C000467,Enthusiast,Silver,2020-12-18 00:00:00
C000468,Professional,None,2022-10-30 00:00:00
C000469,Value,Gold,2022-12-13 00:00:00
C000470,Value,Bronze,2024-04-03 00:00:00
C000471,Enthusiast,None,2020-02-08 00:00:00
C000472,Enthusiast,Gold,2024-12-06 00:00:00
C000473,Value,Bronze,2021-06-08 00:00:00
C000474,Casual,None,2020-05-04 00:00:00
C000475,Casual,Gold,2023-07-30 00:00:00
C000476,Casual,Silver,2023-11-09 00:00:00
C000477,Casual,None,2020-08-16 00:00:00
C000478,Casual,Bronze,2024-08-25 00:00:00
C000479,Professional,Silver,2022-03-19 00:00:00
C000480,Professional,None,2021-11-14 00:00:00
C000481,Casual,Bronze,2023-11-22 00:00:00
C000482,Value,Bronze,2022-07-20 00:00:00
C000483,Casual,Silver,2022-09-03 00:00:00
C000484,Enthusiast,None,2021-05-08 00:00:00
C000485,Enthusiast,None,2024-09-10 00:00:00
C000486,Casual,Bronze,2021-07-27 00:00:00
C000487,Enthusiast,None,2024-09-07 00:00:00
C000488,Enthusiast,None,2023-02-08 00:00:00
C000489,Casual,None,2021-09-21 00:00:00
C000490,Enthusiast,Bronze,2020-02-24 00:00:00
C000491,Value,None,2020-02-21 00:00:00
C000492,Casual,None,2022-06-08 00:00:00
C000493,Casual,Bronze,2021-02-15 00:00:00
C000494,Value,Bronze,2020-08-30 00:00:00
C000495,Professional,Silver,2020-12-18 00:00:00
C000496,Value,Bronze,2021-10-07 00:00:00
C000497,Professional,Bronze,2023-04-12 00:00:00
C000498,Enthusiast,Bronze,2023-01-29 00:00:00
C000499,Value,None,2023-06-22 00:00:00
C000500,Enthusiast,Bronze,2023-11-05 00:00:00
C000501,Casual,Silver,2023-11-13 00:00:00
C000502,Casual,Silver,2020-06-22 00:00:00
C000503,Enthusiast,Bronze,2022-02-12 00:00:00
C000504,Enthusiast,Gold,2020-05-27 00:00:00
C000505,Professional,Silver,2022-06-06 00:00:00
C000506,Professional,None,2022-10-31 00:00:00
C000507,Value,Gold,2020-04-21 00:00:00
C000508,Value,None,2021-08-13 00:00:00
C000509,Value,Bronze,2021-11-07 00:00:00
C000510,Enthusiast,Bronze,2022-12-26 00:00:00
C000511,Enthusiast,None,2024-09-16 00:00:00
C000512,Enthusiast,Bronze,2020-01-25 00:00:00
C000513,Casual,Bronze,2022-09-13 00:00:00
C000514,Casual,None,2024-10-22 00:00:00
C000515,Value,Silver,2020-01-12 00:00:00
C000516,Casual,Bronze,2024-11-18 00:00:00
C000517,Professional,Bronze,2023-01-02 00:00:00
C000518,Casual,Bronze,2023-07-01 00:00:00
C000519,Value,None,2024-04-12 00:00:00
C000520,Value,Silver,2020-05-04 00:00:00
C000521,Value,Gold,2020-01-11 00:00:00
C000522,Enthusiast,Platinum,2024-06-20 00:00:00
C000523,Casual,None,2022-02-17 00:00:00
C000524,Value,Silver,2022-07-05 00:00:00
C000525,Value,Silver,2021-09-06 00:00:00
C000526,Enthusiast,None,2024-10-15 00:00:00
C000527,Casual,Platinum,2020-05-29 00:00:00
C000528,Value,None,2024-10-08 00:00:00
C000529,Value,Silver,2024-06-24 00:00:00
C000530,Casual,Bronze,2021-07-13 00:00:00
C000531,Value,Silver,2022-01-10 00:00:00
C000532,Casual,Silver,2022-03-06 00:00:00
C000533,Professional,Silver,2022-05-05 00:00:00
C000534,Enthusiast,Silver,2022-01-03 00:00:00
C000535,Value,Bronze,2024-11-26 00:00:00
C000536,Casual,Silver,2020-06-06 00:00:00
C000537,Casual,Gold,2021-05-24 00:00:00
C000538,Enthusiast,Bronze,2023-07-01 00:00:00
C000539,Enthusiast,Bronze,2023-12-03 00:00:00
C000540,Value,Bronze,2022-11-08 00:00:00
C000541,Casual,None,2023-10-04 00:00:00
C000542,Enthusiast,None,2021-06-07 00:00:00
C000543,Value,Silver,2024-04-15 00:00:00
C000544,Casual,None,2020-04-04 00:00:00
C000545,Value,Bronze,2020-12-29 00:00:00
C000546,Casual,Platinum,2020-11-20 00:00:00
C000547,Professional,Gold,2023-01-13 00:00:00
C000548,Enthusiast,Bronze,2021-01-02 00:00:00
C000549,Casual,Bronze,2021-10-14 00:00:00
C000550,Professional,None,2024-01-06 00:00:00
