order_id,order_ts,store_id,customer_id,channel
O0000186,2024-01-02 20:27:00,S014,C002280,ecom
O0000187,2024-01-02 17:31:00,S018,C001850,store
O0000188,2024-01-02 12:54:00,S025,C001451,ecom
O0000189,2024-01-02 17:46:00,S016,C001987,store
O0000190,2024-01-02 12:25:00,S017,C001516,ecom
O0000191,2024-01-02 17:40:00,S003,C000971,store
O0000192,2024-01-02 09:15:00,S019,C001699,ecom
O0000193,2024-01-02 15:05:00,S006,C001282,store
O0000194,2024-01-02 19:47:00,S015,C000584,ecom
O0000195,2024-01-02 12:35:00,S005,C001644,store
O0000196,2024-01-02 17:31:00,S030,C001719,ecom
O0000197,2024-01-02 13:07:00,S005,C001612,store
O0000198,2024-01-02 09:33:00,S022,C001538,store
O0000199,2024-01-02 17:07:00,S025,C000783,store
O0000200,2024-01-02 10:50:00,S027,C001709,store
O0000201,2024-01-02 09:21:00,S024,C000372,ecom
O0000202,2024-01-02 15:43:00,S025,C000598,ecom
O0000203,2024-01-02 17:54:00,S007,C000640,store
O0000204,2024-01-02 13:19:00,S002,C000138,ecom
O0000205,2024-01-02 09:52:00,S007,C001381,store
O0000206,2024-01-02 15:18:00,S025,C001886,ecom
O0000207,2024-01-02 19:38:00,S028,C001126,store
O0000208,2024-01-02 14:35:00,S004,C002069,store
O0000209,2024-01-02 12:28:00,S002,C001505,store
O0000210,2024-01-02 14:33:00,S006,C002426,store
O0000211,2024-01-02 20:35:00,S028,C001081,ecom
O0000212,2024-01-02 19:51:00,S017,C000427,store
O0000213,2024-01-02 19:21:00,S015,C000425,store
O0000214,2024-01-02 10:46:00,S022,C001056,store
O0000215,2024-01-02 20:06:00,S001,C000745,store
O0000216,2024-01-02 15:48:00,S022,C000374,store
O0000217,2024-01-02 10:06:00,S007,C000833,store
O0000218,2024-01-03 13:01:00,S025,C000314,ecom
O0000219,2024-01-03 11:58:00,S005,C001192,store
O0000220,2024-01-03 10:24:00,S008,C000955,store
O0000221,2024-01-03 09:39:00,S010,C002085,ecom
O0000222,2024-01-03 17:42:00,S017,C000898,store
O0000223,2024-01-03 18:25:00,S015,C000272,ecom
O0000224,2024-01-03 16:46:00,S022,C000219,store
O0000225,2024-01-03 19:53:00,S020,C001767,store
O0000226,2024-01-03 11:16:00,S013,C000922,store
O0000227,2024-01-03 18:41:00,S022,C000766,ecom
O0000228,2024-01-03 13:12:00,S005,C000809,ecom
O0000229,2024-01-03 11:29:00,S030,C000859,store
O0000230,2024-01-03 19:41:00,S021,C000022,ecom
O0000231,2024-01-03 16:35:00,S021,C001880,store
O0000232,2024-01-03 19:09:00,S014,C001323,store
O0000233,2024-01-03 12:22:00,S018,C000816,ecom
O0000234,2024-01-03 15:57:00,S013,C001623,store
O0000235,2024-01-03 20:10:00,S015,C000978,store
O0000236,2024-01-03 13:37:00,S007,C000731,store
O0000237,2024-01-03 15:45:00,S014,C000996,ecom
O0000238,2024-01-03 12:08:00,S020,C000634,store
O0000239,2024-01-03 13:36:00,S014,C001142,store
O0000240,2024-01-03 10:25:00,S023,C000008,store
O0000241,2024-01-03 19:26:00,S003,C001144,store
O0000242,2024-01-03 11:17:00,S007,C001572,store
O0000243,2024-01-03 20:09:00,S013,C001946,store
O0000244,2024-01-03 18:18:00,S016,C002118,store
O0000245,2024-01-03 09:04:00,S014,C001989,ecom
O0000246,2024-01-03 18:43:00,S005,C001058,ecom
O0000247,2024-01-03 10:44:00,S028,C002386,store
O0000248,2024-01-03 13:24:00,S016,C000363,ecom
O0000249,2024-01-03 20:47:00,S011,C001134,store
O0000250,2024-01-03 17:28:00,S008,C001915,store
O0000251,2024-01-03 09:41:00,S002,C002133,store
O0000252,2024-01-03 20:15:00,S012,C000689,store
O0000253,2024-01-03 16:41:00,S029,C000650,store
O0000254,2024-01-03 17:25:00,S024,C002041,store
O0000255,2024-01-03 15:22:00,S009,C000548,ecom
O0000256,2024-01-03 20:57:00,S026,C001432,ecom
O0000257,2024-01-03 14:17:00,S021,C002299,store
O0000258,2024-01-03 13:39:00,S004,C001446,store
O0000259,2024-01-03 14:29:00,S012,C002306,store
O0000260,2024-01-03 16:30:00,S004,C000793,ecom
O0000261,2024-01-03 17:21:00,S016,C000348,ecom
O0000262,2024-01-03 18:41:00,S020,C000696,store
O0000263,2024-01-03 12:50:00,S021,C001196,ecom
O0000264,2024-01-03 20:40:00,S014,C000613,ecom
O0000265,2024-01-03 10:30:00,S012,C001555,ecom
O0000266,2024-01-03 19:31:00,S006,C000197,store
O0000267,2024-01-03 12:27:00,S005,C001524,ecom
O0000268,2024-01-03 20:04:00,S014,C000063,store
O0000269,2024-01-03 09:33:00,S006,C000773,store
O0000270,2024-01-03 16:54:00,S022,C000294,ecom
O0000271,2024-01-03 09:46:00,S030,C000312,store
O0000272,2024-01-03 10:07:00,S025,C000253,store
O0000273,2024-01-03 19:00:00,S025,C000301,store
O0000274,2024-01-03 09:22:00,S008,C002029,store
O0000275,2024-01-03 10:11:00,S005,C000343,ecom
O0000276,2024-01-03 19:10:00,S030,C001622,store
O0000277,2024-01-03 17:38:00,S021,C001675,store
O0000278,2024-01-03 12:31:00,S018,C001465,ecom
O0000279,2024-01-03 12:56:00,S009,C000510,ecom
O0000280,2024-01-03 18:04:00,S020,C000524,store
O0000281,2024-01-03 13:30:00,S008,C000155,ecom
O0000282,2024-01-03 15:49:00,S010,C001907,store
O0000283,2024-01-03 13:03:00,S020,C002467,ecom
O0000284,2024-01-03 16:40:00,S019,C001573,ecom
O0000285,2024-01-03 20:27:00,S006,C001129,store
O0000286,2024-01-03 14:29:00,S029,C001247,store
O0000287,2024-01-03 14:56:00,S015,C000923,store
O0000288,2024-01-04 15:12:00,S026,C000029,ecom
O0000289,2024-01-04 19:02:00,S004,C000432,ecom
O0000290,2024-01-04 19:19:00,S029,C001259,ecom
O0000291,2024-01-04 12:24:00,S002,C001646,store
O0000292,2024-01-04 15:10:00,S026,C002442,store
O0000293,2024-01-04 19:49:00,S005,C000457,ecom
O0000294,2024-01-04 11:47:00,S012,C002139,ecom
O0000295,2024-01-04 15:56:00,S011,C001096,store
O0000296,2024-01-04 20:19:00,S019,C000961,ecom
O0000297,2024-01-04 19:32:00,S015,C002456,store
O0000298,2024-01-04 09:49:00,S005,C000780,store
O0000299,2024-01-04 19:25:00,S016,C001409,ecom
O0000300,2024-01-04 10:20:00,S018,C001687,ecom
O0000301,2024-01-04 10:59:00,S003,C000018,store
O0000302,2024-01-04 18:40:00,S009,C001701,ecom
O0000303,2024-01-04 15:59:00,S014,C002364,store
O0000304,2024-01-04 15:26:00,S027,C001388,store
O0000305,2024-01-04 12:27:00,S013,C000090,store
O0000306,2024-01-04 16:14:00,S018,C000557,store
O0000307,2024-01-04 10:57:00,S027,C000306,store
O0000308,2024-01-04 17:56:00,S028,C001553,ecom
O0000309,2024-01-04 12:28:00,S017,C000186,store
O0000310,2024-01-04 20:36:00,S007,C001034,store
O0000311,2024-01-04 12:09:00,S018,C002046,store
O0000312,2024-01-04 18:12:00,S027,C000974,store
O0000313,2024-01-04 09:14:00,S008,C000981,store
O0000314,2024-01-04 12:26:00,S018,C001983,store
O0000315,2024-01-04 14:25:00,S017,C001534,store
O0000316,2024-01-04 09:39:00,S015,C002161,store
O0000317,2024-01-04 09:12:00,S004,C000908,store
O0000318,2024-01-04 18:33:00,S005,C000548,ecom
O0000319,2024-01-04 15:35:00,S030,C000838,ecom
O0000320,2024-01-04 11:13:00,S009,C000759,store
O0000321,2024-01-04 17:58:00,S008,C002254,store
O0000322,2024-01-04 11:45:00,S012,C001519,ecom
O0000323,2024-01-04 18:40:00,S013,C001701,ecom
O0000324,2024-01-04 17:15:00,S030,C000166,ecom
O0000325,2024-01-04 12:31:00,S017,C002002,store
O0000326,2024-01-04 12:21:00,S030,C002108,store
O0000327,2024-01-04 11:51:00,S028,C000378,store
O0000328,2024-01-04 20:53:00,S004,C001895,ecom
O0000329,2024-01-04 19:54:00,S011,C001028,store
O0000330,2024-01-04 13:07:00,S029,C000460,store
O0000331,2024-01-04 12:25:00,S013,C000676,store
O0000332,2024-01-04 16:28:00,S023,C000249,ecom
O0000333,2024-01-04 15:36:00,S027,C002120,ecom
O0000334,2024-01-04 10:27:00,S013,C001778,store
O0000335,2024-01-04 12:32:00,S008,C001754,store
O0000336,2024-01-04 11:05:00,S013,C002220,ecom
O0000337,2024-01-04 14:26:00,S028,C001027,ecom
O0000338,2024-01-04 18:42:00,S020,C002323,ecom
O0000339,2024-01-04 10:37:00,S017,C000279,store
O0000340,2024-01-04 18:31:00,S024,C000370,ecom
O0000341,2024-01-04 15:32:00,S002,C000430,store
O0000342,2024-01-04 16:27:00,S015,C001312,ecom
O0000343,2024-01-04 19:26:00,S017,C002285,ecom
O0000344,2024-01-04 18:17:00,S010,C001224,store
O0000345,2024-01-04 16:08:00,S008,C000587,store
O0000346,2024-01-04 18:49:00,S026,C000475,ecom
O0000347,2024-01-04 15:27:00,S003,C001008,store
O0000348,2024-01-04 09:39:00,S022,C000104,store
O0000349,2024-01-04 18:26:00,S019,C002385,ecom
O0000350,2024-01-04 13:45:00,S021,C001611,store
O0000351,2024-01-04 13:35:00,S025,C001504,store
O0000352,2024-01-04 14:22:00,S020,C000210,ecom
O0000353,2024-01-04 16:16:00,S027,C002062,store
O0000354,2024-01-04 12:59:00,S022,C001273,store
O0000355,2024-01-04 15:31:00,S015,C001675,ecom
O0000356,2024-01-04 13:09:00,S003,C002440,store
O0000357,2024-01-04 14:47:00,S014,C000324,ecom
O0000358,2024-01-04 10:46:00,S027,C001467,store
O0000359,2024-01-04 09:58:00,S027,C002199,store
O0000360,2024-01-04 17:04:00,S010,C000152,store
O0000361,2024-01-04 13:59:00,S005,C000222,ecom
O0000362,2024-01-04 12:15:00,S005,C000327,ecom
O0000363,2024-01-04 17:17:00,S028,C001199,store
O0000364,2024-01-05 15:09:00,S015,C001458,ecom
O0000365,2024-01-05 19:17:00,S006,C000693,store
O0000366,2024-01-05 13:38:00,S014,C001569,store
O0000367,2024-01-05 09:57:00,S027,C001186,store
O0000368,2024-01-05 18:09:00,S007,C000042,store
O0000369,2024-01-05 20:38:00,S004,C000210,ecom
O0000370,2024-01-05 12:11:00,S004,C001501,store
O0000371,2024-01-05 18:18:00,S017,C001561,ecom
O0000372,2024-01-05 14:29:00,S030,C001155,ecom
O0000373,2024-01-05 11:47:00,S013,C001632,store
O0000374,2024-01-05 14:15:00,S022,C002178,store
O0000375,2024-01-05 19:00:00,S012,C000365,store
O0000376,2024-01-05 17:13:00,S029,C001242,store
O0000377,2024-01-05 11:29:00,S007,C000134,ecom
O0000378,2024-01-05 10:37:00,S028,C002222,store
O0000379,2024-01-05 16:32:00,S028,C002348,ecom
O0000380,2024-01-05 19:27:00,S023,C001059,ecom
O0000381,2024-01-05 10:31:00,S010,C001010,store
O0000382,2024-01-05 13:10:00,S020,C002038,ecom
O0000383,2024-01-05 13:15:00,S029,C002077,ecom
O0000384,2024-01-05 20:39:00,S009,C001046,store
O0000385,2024-01-05 11:20:00,S023,C001443,ecom
O0000386,2024-01-05 13:04:00,S005,C002224,store
O0000387,2024-01-05 11:42:00,S021,C001791,store
O0000388,2024-01-05 18:25:00,S020,C001595,store
O0000389,2024-01-05 13:58:00,S027,C002282,store
O0000390,2024-01-05 12:46:00,S002,C002389,ecom
O0000391,2024-01-05 09:32:00,S015,C001653,store
O0000392,2024-01-05 14:50:00,S009,C000680,store
O0000393,2024-01-05 09:24:00,S030,C000371,ecom
O0000394,2024-01-05 17:23:00,S029,C001708,ecom
O0000395,2024-01-05 18:32:00,S009,C001769,ecom
O0000396,2024-01-05 13:17:00,S028,C000240,store
O0000397,2024-01-05 19:26:00,S021,C002206,store
O0000398,2024-01-05 17:24:00,S026,C000917,store
O0000399,2024-01-05 15:56:00,S009,C001770,store
O0000400,2024-01-05 16:03:00,S012,C000290,store
O0000401,2024-01-05 18:11:00,S030,C000572,store
O0000402,2024-01-05 13:46:00,S029,C002297,store
O0000403,2024-01-05 18:59:00,S020,C000139,store
O0000404,2024-01-05 18:30:00,S008,C001902,store
O0000405,2024-01-05 11:54:00,S011,C000897,ecom
O0000406,2024-01-05 10:33:00,S011,C000254,store
O0000407,2024-01-05 19:53:00,S010,C001521,store
O0000408,2024-01-05 18:22:00,S013,C002413,store
O0000409,2024-01-05 19:14:00,S026,C001211,store
O0000410,2024-01-05 17:57:00,S018,C001710,store
O0000411,2024-01-05 12:59:00,S023,C000929,ecom
O0000412,2024-01-05 18:32:00,S026,C000033,store
O0000413,2024-01-05 20:58:00,S027,C001576,store
O0000414,2024-01-05 12:57:00,S029,C000145,store
O0000415,2024-01-05 11:05:00,S004,C000464,store
O0000416,2024-01-05 09:29:00,S027,C002486,ecom
O0000417,2024-01-05 17:49:00,S021,C000765,store
O0000418,2024-01-05 16:16:00,S027,C001889,ecom
O0000419,2024-01-05 13:15:00,S021,C002462,store
O0000420,2024-01-05 13:10:00,S020,C002295,ecom
O0000421,2024-01-05 14:14:00,S019,C000327,ecom
O0000422,2024-01-05 11:56:00,S010,C001150,store
O0000423,2024-01-05 14:00:00,S017,C000163,store
O0000424,2024-01-05 10:13:00,S019,C000945,ecom
O0000425,2024-01-05 19:16:00,S013,C002079,ecom
O0000426,2024-01-05 19:36:00,S010,C001653,ecom
O0000427,2024-01-05 20:38:00,S006,C001735,store
O0000428,2024-01-05 19:56:00,S024,C001354,ecom
O0000429,2024-01-05 20:42:00,S027,C001891,store
O0000430,2024-01-05 16:49:00,S029,C000989,store
O0000431,2024-01-05 17:27:00,S009,C000502,store
O0000432,2024-01-05 11:22:00,S025,C000488,store
O0000433,2024-01-05 20:34:00,S008,C000992,store
O0000434,2024-01-05 18:53:00,S016,C001360,ecom
O0000435,2024-01-05 17:45:00,S015,C000549,ecom
O0000436,2024-01-05 11:11:00,S001,C002222,store
O0000437,2024-01-05 19:01:00,S003,C002387,store
O0000438,2024-01-05 19:10:00,S004,C001328,store
O0000439,2024-01-05 18:53:00,S030,C002484,store
O0000440,2024-01-05 18:17:00,S027,C000885,store
O0000441,2024-01-05 13:14:00,S027,C002246,store
O0000442,2024-01-05 14:01:00,S028,C002407,ecom
O0000443,2024-01-05 10:47:00,S016,C001567,ecom
O0000444,2024-01-05 16:24:00,S014,C002154,ecom
O0000445,2024-01-05 13:23:00,S004,C001927,store
O0000446,2024-01-06 19:54:00,S005,C001375,ecom
O0000447,2024-01-06 14:04:00,S005,C001937,store
O0000448,2024-01-06 20:34:00,S009,C001178,store
O0000449,2024-01-06 13:05:00,S018,C001216,store
O0000450,2024-01-06 19:43:00,S013,C002357,ecom
O0000451,2024-01-06 10:04:00,S008,C001172,store
O0000452,2024-01-06 16:24:00,S022,C002371,ecom
O0000453,2024-01-06 16:58:00,S011,C002105,store
O0000454,2024-01-06 13:24:00,S002,C002107,ecom
O0000455,2024-01-06 17:24:00,S010,C000476,store
O0000456,2024-01-06 16:46:00,S004,C001035,ecom
O0000457,2024-01-06 12:33:00,S028,C001804,ecom
O0000458,2024-01-06 14:58:00,S029,C000265,store
O0000459,2024-01-06 13:01:00,S029,C001431,store
O0000460,2024-01-06 09:50:00,S007,C001989,store
O0000461,2024-01-06 12:03:00,S006,C001686,store
O0000462,2024-01-06 16:49:00,S029,C000173,store
O0000463,2024-01-06 13:11:00,S014,C002353,store
O0000464,2024-01-06 18:23:00,S012,C001213,store
O0000465,2024-01-06 19:46:00,S016,C001536,store
O0000466,2024-01-06 10:56:00,S012,C001885,store
O0000467,2024-01-06 19:09:00,S007,C000580,store
O0000468,2024-01-06 13:26:00,S002,C001090,store
O0000469,2024-01-06 20:35:00,S016,C000244,ecom
O0000470,2024-01-06 09:36:00,S025,C000308,store
O0000471,2024-01-06 12:45:00,S016,C002312,store
O0000472,2024-01-06 12:47:00,S016,C002243,store
O0000473,2024-01-06 13:51:00,S017,C000625,store
O0000474,2024-01-06 13:04:00,S025,C001862,ecom
O0000475,2024-01-06 09:04:00,S016,C001148,store
O0000476,2024-01-06 18:18:00,S024,C000158,store
O0000477,2024-01-06 11:49:00,S013,C000167,ecom
O0000478,2024-01-06 13:52:00,S002,C000744,ecom
O0000479,2024-01-06 13:28:00,S007,C000563,ecom
O0000480,2024-01-06 20:55:00,S026,C001792,ecom
O0000481,2024-01-06 19:07:00,S028,C001878,ecom
O0000482,2024-01-06 18:28:00,S019,C000484,ecom
O0000483,2024-01-06 20:37:00,S017,C001636,ecom
O0000484,2024-01-06 10:37:00,S012,C000823,store
O0000485,2024-01-06 13:41:00,S021,C001319,ecom
O0000486,2024-01-06 18:51:00,S002,C000303,ecom
O0000487,2024-01-06 16:57:00,S025,C001834,ecom
O0000488,2024-01-06 09:20:00,S003,C000973,ecom
O0000489,2024-01-06 11:43:00,S006,C002295,store
O0000490,2024-01-06 13:42:00,S028,C000425,store
O0000491,2024-01-06 14:09:00,S024,C001287,store
O0000492,2024-01-06 18:55:00,S014,C000153,ecom
O0000493,2024-01-06 20:51:00,S020,C002494,store
O0000494,2024-01-06 12:38:00,S015,C002361,store
O0000495,2024-01-06 11:14:00,S011,C002317,store
O0000496,2024-01-06 10:13:00,S020,C000944,store
O0000497,2024-01-06 09:42:00,S020,C001447,ecom
O0000498,2024-01-06 09:28:00,S020,C001161,store
O0000499,2024-01-06 14:33:00,S019,C001338,store
O0000500,2024-01-06 18:49:00,S011,C001717,ecom
O0000501,2024-01-06 15:14:00,S010,C000383,store
O0000502,2024-01-06 16:54:00,S004,C001956,store
