sku,upc,brand,category,subcategory,size,cost,list_price,status,effective_from
SKU00065,407755572892,Harbor,Accessories,Socks,XL,21.23,40.19,Discontinued,2024-01-01 00:00:00
SKU00066,252016524045,Harbor,Apparel,Bottoms,XL,21.71,52.48,Active,2024-01-01 00:00:00
SKU00067,538509559459,Ember,Accessories,Belts,M,12.5,20.67,Active,2024-01-01 00:00:00
SKU00068,973680650086,Ember,Accessories,Belts,S,9.04,14.48,Discontinued,2024-01-01 00:00:00
SKU00069,798883838603,Harbor,Accessories,Hats,S,10.26,19.77,Active,2024-01-01 00:00:00
SKU00070,849897670188,Gale,Apparel,Tops,XS,19.96,44.51,Active,2024-01-01 00:00:00
SKU00071,817739451387,Boreal,Apparel,Dresses,L,18.24,50.63,Active,2024-01-01 00:00:00
SKU00072,217174567432,Harbor,Apparel,Tops,L,22.01,47.91,Discontinued,2024-01-01 00:00:00
SKU00073,709269636661,Dawn,Footwear,Boots,L,31.53,61.83,Active,2024-01-01 00:00:00
SKU00074,386029500079,Harbor,Footwear,Boots,XL,28.23,76.62,Active,2024-01-01 00:00:00
SKU00075,332871661255,Aster,Apparel,Dresses,M,19.82,53.82,Active,2024-01-01 00:00:00
SKU00076,346091145120,Dawn,Apparel,Tops,S,16.2,31.8,Active,2024-01-01 00:00:00
SKU00077,595669726987,Fjord,Accessories,Hats,One-Size,7.81,17.01,Active,2024-01-01 00:00:00
SKU00078,146778748701,Boreal,Accessories,Socks,L,9.74,17.22,Active,2024-01-01 00:00:00
SKU00079,364675374911,Dawn,Apparel,Outerwear,One-Size,18.54,43.31,Active,2024-01-01 00:00:00
SKU00080,259072277068,Gale,Footwear,Sneakers,One-Size,21.0,45.12,Active,2024-01-01 00:00:00
SKU00081,590935893869,Dawn,Accessories,Belts,One-Size,16.01,30.86,Active,2024-01-01 00:00:00
SKU00082,423820523743,Cascade,Apparel,Bottoms,S,18.27,35.63,Active,2024-01-01 00:00:00
SKU00083,665819742920,Cascade,Accessories,Hats,M,22.59,54.82,Active,2024-01-01 00:00:00
SKU00084,370360415951,Dawn,Apparel,Bottoms,XS,22.85,33.92,Active,2024-01-01 00:00:00
SKU00085,278714740321,Boreal,Apparel,Bottoms,M,21.5,51.96,Active,2024-01-01 00:00:00
SKU00086,608774300900,Cascade,Footwear,Boots,S,27.42,72.82,Active,2024-01-01 00:00:00
SKU00087,793077614984,Boreal,Accessories,Bags,S,9.32,22.83,Active,2024-01-01 00:00:00
SKU00088,224661316416,Boreal,Footwear,Boots,One-Size,27.73,49.61,Active,2024-01-01 00:00:00
SKU00089,171750721686,Dawn,Footwear,Sandals,XS,25.61,49.77,Active,2024-01-01 00:00:00
SKU00090,580879049549,Harbor,Apparel,Tops,S,19.09,36.81,Active,2024-01-01 00:00:00
SKU00091,684144426218,Cascade,Apparel,Bottoms,S,16.61,42.77,Discontinued,2024-01-01 00:00:00
SKU00092,993932937014,Aster,Accessories,Bags,S,6.71,11.63,Discontinued,2024-01-01 00:00:00
SKU00093,382978818168,Boreal,Footwear,Sneakers,M,20.73,55.17,Active,2024-01-01 00:00:00
SKU00094,639841876863,Fjord,Footwear,Sandals,L,30.76,56.4,Active,2024-01-01 00:00:00
SKU00095,748177918302,Aster,Footwear,Sneakers,S,27.04,53.11,Active,2024-01-01 00:00:00
SKU00096,650949020908,Fjord,Footwear,Boots,L,19.19,53.57,Discontinued,2024-01-01 00:00:00
SKU00097,142232592540,Boreal,Accessories,Belts,XL,11.93,30.01,Active,2024-01-01 00:00:00
SKU00098,901229983360,Gale,Footwear,Sneakers,XL,23.96,54.0,Active,2024-01-01 00:00:00
SKU00099,600083882622,Ember,Accessories,Hats,M,12.91,22.33,Active,2024-01-01 00:00:00
SKU00100,982346774909,Gale,Accessories,Belts,S,7.48,17.02,Active,2024-01-01 00:00:00
SKU00101,691946846600,Gale,Accessories,Hats,S,13.03,33.02,Active,2024-01-01 00:00:00
SKU00102,957507543280,Boreal,Accessories,Belts,M,7.81,12.21,Active,2024-01-01 00:00:00
SKU00103,925199732556,Fjord,Apparel,Tops,One-Size,12.99,32.28,Active,2024-01-01 00:00:00
SKU00104,130491692398,Ember,Apparel,Bottoms,One-Size,30.27,73.97,Active,2024-01-01 00:00:00
SKU00105,930772809410,Cascade,Apparel,Dresses,XL,24.88,52.33,Active,2024-01-01 00:00:00
SKU00106,608832163843,Dawn,Accessories,Socks,One-Size,11.12,24.61,Active,2024-01-01 00:00:00
SKU00107,903721635710,Aster,Footwear,Sandals,XS,27.98,64.03,Active,2024-01-01 00:00:00
SKU00108,894560517760,Ember,Accessories,Belts,L,8.67,19.31,Active,2024-01-01 00:00:00
SKU00109,205821124008,Gale,Apparel,Bottoms,XS,32.26,88.61,Active,2024-01-01 00:00:00
SKU00110,525992588949,Fjord,Footwear,Boots,XL,22.59,38.93,Active,2024-01-01 00:00:00
SKU00111,522875831354,Boreal,Footwear,Sandals,One-Size,22.67,50.04,Active,2024-01-01 00:00:00
SKU00112,633390610411,Aster,Accessories,Bags,L,17.88,36.01,Discontinued,2024-01-01 00:00:00
SKU00113,741653597516,Harbor,Apparel,Dresses,S,20.63,49.01,Active,2024-01-01 00:00:00
SKU00114,246893955991,Gale,Accessories,Bags,L,16.42,29.46,Active,2024-01-01 00:00:00
SKU00115,811943608090,Ember,Accessories,Socks,M,16.78,25.28,Active,2024-01-01 00:00:00
SKU00116,313886386563,Ember,Footwear,Sandals,XL,40.0,74.21,Discontinued,2024-01-01 00:00:00
SKU00117,307826041480,Aster,Accessories,Hats,XS,14.81,30.62,Active,2024-01-01 00:00:00
SKU00118,688992255144,Cascade,Accessories,Bags,L,9.41,21.46,Active,2024-01-01 00:00:00
SKU00119,969032772773,Fjord,Footwear,Sneakers,One-Size,21.19,37.15,Active,2024-01-01 00:00:00
SKU00120,892177375955,Boreal,Accessories,Hats,S,10.19,19.69,Active,2024-01-01 00:00:00
SKU00121,390352645220,Dawn,Footwear,Boots,XS,21.13,58.38,Active,2024-01-01 00:00:00
SKU00122,642437536815,Cascade,Accessories,Socks,S,15.22,22.77,Active,2024-01-01 00:00:00
SKU00123,398259002520,Gale,Apparel,Tops,L,17.11,28.95,Active,2024-01-01 00:00:00
SKU00124,293734971979,Cascade,Apparel,Outerwear,XS,18.08,29.76,Active,2024-01-01 00:00:00
SKU00125,819495845768,Harbor,Apparel,Dresses,XL,14.87,30.05,Active,2024-01-01 00:00:00
SKU00126,306835076011,Fjord,Accessories,Socks,One-Size,25.54,40.15,Active,2024-01-01 00:00:00
SKU00127,665090112853,Cascade,Apparel,Outerwear,S,18.2,44.81,Active,2024-01-01 00:00:00
SKU00128,753197266079,Fjord,Accessories,Hats,M,12.06,24.13,Active,2024-01-01 00:00:00
SKU00129,821235282565,Ember,Accessories,Belts,S,17.3,38.65,Active,2024-01-01 00:00:00
SKU00130,679280105096,Aster,Apparel,Bottoms,One-Size,29.35,66.52,Active,2024-01-01 00:00:00
SKU00131,952428483508,Gale,Footwear,Boots,XS,22.93,34.39,Active,2024-01-01 00:00:00
SKU00132,903396921354,Ember,Apparel,Bottoms,XS,18.85,44.43,Active,2024-01-01 00:00:00
SKU00133,475043977425,Dawn,Accessories,Belts,One-Size,10.11,25.69,Discontinued,2024-01-01 00:00:00
SKU00134,846788807583,Fjord,Footwear,Boots,S,22.15,31.13,Active,2024-01-01 00:00:00
SKU00135,236968670850,Cascade,Footwear,Sandals,XS,21.41,42.96,Active,2024-01-01 00:00:00
SKU00136,132378594226,Dawn,Footwear,Sandals,L,21.43,52.74,Active,2024-01-01 00:00:00
SKU00137,298442990081,Cascade,Footwear,Boots,M,32.34,60.17,Active,2024-01-01 00:00:00
SKU00138,614949233712,Ember,Accessories,Hats,XL,9.29,17.97,Active,2024-01-01 00:00:00
SKU00139,148185184974,Fjord,Apparel,Dresses,XL,19.06,52.17,Active,2024-01-01 00:00:00
SKU00140,579495332897,Boreal,Footwear,Sneakers,L,22.39,56.17,Active,2024-01-01 00:00:00
SKU00141,534842255138,Harbor,Footwear,Sandals,M,34.29,78.13,Active,2024-01-01 00:00:00
SKU00142,307648792002,Ember,Apparel,Tops,S,22.57,61.52,Active,2024-01-01 00:00:00
SKU00143,452425852165,Ember,Accessories,Bags,L,9.07,18.48,Active,2024-01-01 00:00:00
SKU00144,283765842281,Ember,Accessories,Hats,S,12.22,27.92,Active,2024-01-01 00:00:00
SKU00145,250616031286,Fjord,Accessories,Hats,XS,13.72,34.93,Active,2024-01-01 00:00:00
SKU00146,267841041784,Ember,Footwear,Sandals,L,30.59,60.33,Active,2024-01-01 00:00:00
SKU00147,257285244083,Fjord,Footwear,Boots,S,26.65,41.64,Active,2024-01-01 00:00:00
SKU00148,626578173106,Boreal,Accessories,Belts,M,18.3,39.39,Active,2024-01-01 00:00:00
SKU00149,287593312114,Gale,Apparel,Outerwear,XL,16.9,26.89,Active,2024-01-01 00:00:00
SKU00150,699998332917,Gale,Apparel,Outerwear,XL,17.58,41.46,Active,2024-01-01 00:00:00
SKU00151,778262187036,Cascade,Accessories,Belts,XS,7.16,20.05,Active,2024-01-01 00:00:00
SKU00152,314981740981,Dawn,Footwear,Sneakers,XL,34.48,57.95,Active,2024-01-01 00:00:00
SKU00153,986763481712,Aster,Apparel,Outerwear,One-Size,27.58,61.1,Active,2024-01-01 00:00:00
SKU00154,379371944550,Ember,Footwear,Sneakers,XL,36.04,62.36,Active,2024-01-01 00:00:00
SKU00155,831813731467,Boreal,Apparel,Outerwear,M,22.47,44.19,Active,2024-01-01 00:00:00
SKU00156,999188918348,Boreal,Accessories,Belts,One-Size,13.5,25.39,Active,2024-01-01 00:00:00
SKU00157,758662232854,Dawn,Footwear,Sneakers,L,26.67,70.71,Active,2024-01-01 00:00:00
SKU00158,343677399833,Harbor,Accessories,Hats,L,7.83,19.54,Active,2024-01-01 00:00:00
SKU00159,702713144713,Cascade,Footwear,Sandals,L,20.64,47.62,Active,2024-01-01 00:00:00
SKU00160,835174081727,Aster,Accessories,Bags,L,18.48,42.59,Active,2024-01-01 00:00:00
SKU00161,546182414376,Aster,Accessories,Hats,L,6.86,12.51,Active,2024-01-01 00:00:00
SKU00162,611535229840,Aster,Footwear,Sandals,XL,23.58,65.18,Active,2024-01-01 00:00:00
SKU00163,926787784813,Gale,Apparel,Tops,L,15.73,29.45,Active,2024-01-01 00:00:00
SKU00164,931480666476,Gale,Apparel,Bottoms,One-Size,20.75,38.71,Active,2024-01-01 00:00:00
SKU00165,571414515589,Gale,Apparel,Dresses,XL,12.62,18.9,Active,2024-01-01 00:00:00
SKU00166,816304799351,Ember,Apparel,Dresses,One-Size,26.57,65.47,Active,2024-01-01 00:00:00
SKU00167,254305789649,Cascade,Accessories,Belts,XS,11.09,22.6,Active,2024-01-01 00:00:00
SKU00168,120715342468,Aster,Apparel,Dresses,M,18.6,26.49,Active,2024-01-01 00:00:00
SKU00169,457408103222,Dawn,Apparel,Outerwear,XL,15.35,38.7,Active,2024-01-01 00:00:00
SKU00170,134484444009,Dawn,Accessories,Socks,L,19.07,29.26,Active,2024-01-01 00:00:00
SKU00171,610803168313,Cascade,Footwear,Boots,M,26.18,60.15,Active,2024-01-01 00:00:00
SKU00172,739991994819,Ember,Accessories,Socks,L,9.82,17.17,Active,2024-01-01 00:00:00
SKU00173,835153815597,Boreal,Footwear,Sandals,L,24.41,61.04,Active,2024-01-01 00:00:00
SKU00174,794800171791,Dawn,Footwear,Sneakers,S,23.97,57.96,Active,2024-01-01 00:00:00
SKU00175,483996487377,Ember,Footwear,Sandals,XS,22.23,44.19,Active,2024-01-01 00:00:00
SKU00176,794376069615,Harbor,Apparel,Tops,M,14.59,24.92,Active,2024-01-01 00:00:00
SKU00177,476215431087,Cascade,Apparel,Dresses,L,24.36,41.83,Active,2024-01-01 00:00:00
SKU00178,402083731531,Ember,Footwear,Sneakers,XL,23.85,55.23,Active,2024-01-01 00:00:00
SKU00179,275057906860,Aster,Accessories,Hats,S,8.72,14.26,Active,2024-01-01 00:00:00
SKU00180,786139297479,Dawn,Apparel,Tops,S,18.4,37.89,Active,2024-01-01 00:00:00
SKU00181,431281649221,Ember,Apparel,Outerwear,XL,21.21,47.26,Active,2024-01-01 00:00:00
SKU00182,193487938995,Harbor,Apparel,Dresses,XS,22.49,35.87,Discontinued,2024-01-01 00:00:00
SKU00183,222851063676,Aster,Accessories,Hats,S,7.71,17.38,Active,2024-01-01 00:00:00
SKU00184,572138626463,Harbor,Accessories,Bags,S,15.79,34.06,Active,2024-01-01 00:00:00
SKU00185,145284319625,Harbor,Footwear,Sandals,S,22.74,48.96,Discontinued,2024-01-01 00:00:00
SKU00186,443774860725,Ember,Footwear,Boots,L,24.0,34.13,Active,2024-01-01 00:00:00
SKU00187,985277591108,Boreal,Footwear,Boots,M,25.15,39.15,Active,2024-01-01 00:00:00
SKU00188,889833562839,Gale,Apparel,Tops,One-Size,22.21,58.74,Active,2024-01-01 00:00:00
SKU00189,567885771981,Aster,Apparel,Dresses,L,21.3,53.14,Active,2024-01-01 00:00:00
SKU00190,457932201132,Ember,Footwear,Sneakers,XL,23.47,45.12,Active,2024-01-01 00:00:00
SKU00191,300684300672,Cascade,Apparel,Bottoms,M,24.12,45.24,Active,2024-01-01 00:00:00
SKU00192,131940644767,Fjord,Accessories,Hats,L,15.31,37.74,Active,2024-01-01 00:00:00
SKU00193,292142686196,Dawn,Apparel,Outerwear,S,26.54,64.21,Active,2024-01-01 00:00:00
SKU00194,350868801178,Ember,Apparel,Outerwear,M,15.09,40.96,Active,2024-01-01 00:00:00
SKU00195,758716687663,Harbor,Accessories,Hats,L,20.76,41.24,Active,2024-01-01 00:00:00
SKU00196,713392118888,Cascade,Apparel,Tops,One-Size,14.66,36.14,Active,2024-01-01 00:00:00
SKU00197,472526849780,Dawn,Apparel,Bottoms,L,14.73,32.23,Active,2024-01-01 00:00:00
SKU00198,901389537634,Boreal,Footwear,Sandals,XS,25.14,39.26,Active,2024-01-01 00:00:00
SKU00199,110673755135,Gale,Apparel,Tops,L,28.75,60.64,Active,2024-01-01 00:00:00
SKU00200,213214577338,Cascade,Footwear,Boots,One-Size,35.75,61.25,Active,2024-01-01 00:00:00
SKU00201,728067345521,Harbor,Apparel,Dresses,M,17.59,36.29,Discontinued,2024-01-01 00:00:00
SKU00202,722269463356,Gale,Accessories,Bags,XL,41.7,80.2,Active,2024-01-01 00:00:00
SKU00203,907946942498,Ember,Apparel,Tops,M,27.92,71.32,Active,2024-01-01 00:00:00
SKU00204,374660851647,Harbor,Footwear,Sandals,XS,22.75,59.25,Active,2024-01-01 00:00:00
SKU00205,664839411565,Ember,Apparel,Outerwear,XS,13.85,35.8,Active,2024-01-01 00:00:00
SKU00206,974894195299,Ember,Apparel,Outerwear,XL,12.31,31.05,Active,2024-01-01 00:00:00
SKU00207,763835486446,Dawn,Accessories,Belts,XL,16.29,29.79,Discontinued,2024-01-01 00:00:00
SKU00208,991139134170,Aster,Accessories,Belts,One-Size,7.02,15.73,Active,2024-01-01 00:00:00
SKU00209,203462692347,Dawn,Apparel,Bottoms,L,40.26,102.17,Active,2024-01-01 00:00:00
SKU00210,286949450704,Fjord,Accessories,Hats,XS,17.08,34.39,Discontinued,2024-01-01 00:00:00
SKU00211,804315616744,Harbor,Footwear,Boots,XS,37.2,88.68,Active,2024-01-01 00:00:00
SKU00212,118053554046,Dawn,Accessories,Belts,XL,8.51,20.15,Active,2024-01-01 00:00:00
SKU00213,625744170673,Ember,Accessories,Bags,S,21.39,45.05,Active,2024-01-01 00:00:00
SKU00214,938097265061,Cascade,Footwear,Sandals,XS,47.96,97.35,Discontinued,2024-01-01 00:00:00
SKU00215,724493915474,Fjord,Apparel,Outerwear,S,20.75,33.08,Active,2024-01-01 00:00:00
SKU00216,889586740539,Cascade,Footwear,Sneakers,XL,35.17,68.72,Active,2024-01-01 00:00:00
SKU00217,232190490288,Aster,Apparel,Dresses,L,19.37,31.07,Active,2024-01-01 00:00:00
SKU00218,694505391873,Ember,Accessories,Belts,One-Size,10.78,16.49,Active,2024-01-01 00:00:00
SKU00219,196966652991,Aster,Footwear,Sandals,S,24.96,65.58,Active,2024-01-01 00:00:00
SKU00220,282300472337,Cascade,Footwear,Sneakers,XL,23.06,42.7,Active,2024-01-01 00:00:00
SKU00221,948621139287,Cascade,Accessories,Socks,M,18.46,31.0,Active,2024-01-01 00:00:00
SKU00222,785705719598,Fjord,Footwear,Sneakers,XS,21.69,30.96,Active,2024-01-01 00:00:00
SKU00223,539993839383,Gale,Apparel,Bottoms,L,14.14,22.77,Active,2024-01-01 00:00:00
SKU00224,680600911159,Gale,Footwear,Boots,XL,28.25,53.56,Active,2024-01-01 00:00:00
SKU00225,193585696371,Ember,Accessories,Socks,L,14.42,25.36,Active,2024-01-01 00:00:00
SKU00226,215083447292,Gale,Footwear,Sandals,L,37.85,84.67,Active,2024-01-01 00:00:00
SKU00227,638644515426,Gale,Apparel,Outerwear,L,38.72,105.48,Active,2024-01-01 00:00:00
SKU00228,514954552386,Ember,Footwear,Sneakers,One-Size,42.12,106.95,Active,2024-01-01 00:00:00
SKU00229,548316419471,Gale,Footwear,Sandals,XL,28.44,74.74,Active,2024-01-01 00:00:00
SKU00230,763959049074,Boreal,Footwear,Sandals,S,28.51,49.13,Active,2024-01-01 00:00:00
SKU00231,326105486494,Gale,Footwear,Sneakers,XS,23.4,34.06,Active,2024-01-01 00:00:00
SKU00232,571828944324,Ember,Apparel,Bottoms,One-Size,17.89,34.95,Active,2024-01-01 00:00:00
SKU00233,927242566000,Fjord,Apparel,Tops,XL,14.08,21.18,Active,2024-01-01 00:00:00
SKU00234,423571608471,Gale,Apparel,Bottoms,XL,14.14,20.16,Active,2024-01-01 00:00:00
SKU00235,640791524592,Cascade,Apparel,Tops,XS,17.69,46.43,Active,2024-01-01 00:00:00
SKU00236,905871770428,Aster,Accessories,Socks,M,14.52,32.17,Active,2024-01-01 00:00:00
SKU00237,278499561470,Fjord,Footwear,Sneakers,S,22.91,54.4,Active,2024-01-01 00:00:00
SKU00238,329906465832,Gale,Footwear,Sandals,S,47.65,69.04,Active,2024-01-01 00:00:00
SKU00239,847544268426,Aster,Accessories,Belts,M,7.57,15.42,Active,2024-01-01 00:00:00
SKU00240,401953489033,Fjord,Footwear,Boots,L,30.32,78.86,Active,2024-01-01 00:00:00
SKU00241,828135174441,Dawn,Footwear,Sneakers,M,22.03,46.38,Active,2024-01-01 00:00:00
SKU00242,693086612214,Dawn,Accessories,Bags,M,23.88,41.5,Active,2024-01-01 00:00:00
SKU00243,646049652330,Aster,Footwear,Boots,S,20.2,34.82,Active,2024-01-01 00:00:00
SKU00244,122339516772,Dawn,Accessories,Belts,S,14.65,24.53,Discontinued,2024-01-01 00:00:00
SKU00245,831742990945,Ember,Apparel,Tops,One-Size,19.78,49.62,Active,2024-01-01 00:00:00
SKU00246,701522589528,Cascade,Footwear,Boots,M,19.79,38.15,Active,2024-01-01 00:00:00
SKU00247,391954860103,Boreal,Footwear,Boots,S,19.17,43.87,Active,2024-01-01 00:00:00
SKU00248,985199211924,Dawn,Footwear,Sneakers,M,24.2,48.06,Active,2024-01-01 00:00:00
SKU00249,763237866886,Ember,Apparel,Outerwear,M,14.24,31.28,Active,2024-01-01 00:00:00
SKU00250,480178781864,Dawn,Accessories,Bags,M,22.08,32.56,Active,2024-01-01 00:00:00
SKU00251,746124231781,Ember,Apparel,Bottoms,S,16.74,23.58,Active,2024-01-01 00:00:00
SKU00252,297660202728,Boreal,Apparel,Dresses,L,35.29,57.03,Active,2024-01-01 00:00:00
SKU00253,812585698570,Aster,Apparel,Tops,XL,19.63,51.01,Active,2024-01-01 00:00:00
SKU00254,342134201825,Gale,Accessories,Hats,XL,12.16,18.56,Active,2024-01-01 00:00:00
SKU00255,351792401102,Dawn,Footwear,Sneakers,S,33.68,82.33,Active,2024-01-01 00:00:00
SKU00256,285946794599,Cascade,Accessories,Bags,S,16.17,38.41,Discontinued,2024-01-01 00:00:00
SKU00257,610134429528,Gale,Apparel,Dresses,XS,12.09,21.36,Discontinued,2024-01-01 00:00:00
SKU00258,727632193402,Cascade,Footwear,Sneakers,XS,29.8,50.85,Active,2024-01-01 00:00:00
SKU00259,189686147151,Fjord,Accessories,Hats,One-Size,16.74,40.89,Active,2024-01-01 00:00:00
SKU00260,164107571129,Cascade,Apparel,Outerwear,XL,16.1,38.96,Active,2024-01-01 00:00:00
SKU00261,476970072220,Gale,Apparel,Tops,S,33.76,86.51,Active,2024-01-01 00:00:00
SKU00262,707916413280,Dawn,Accessories,Hats,M,6.97,10.7,Active,2024-01-01 00:00:00
SKU00263,298233276987,Ember,Apparel,Dresses,XS,12.54,21.58,Active,2024-01-01 00:00:00
SKU00264,657146723296,Harbor,Accessories,Bags,S,13.51,27.04,Active,2024-01-01 00:00:00
SKU00265,346149276441,Harbor,Accessories,Bags,L,15.45,26.72,Active,2024-01-01 00:00:00
SKU00266,536370590624,Aster,Accessories,Hats,XS,15.48,28.62,Active,2024-01-01 00:00:00
